pl_name,hostname,ra,dec,sy_dist,sy_vmag,disc_year,discoverymethod
"Proxima Cen d","Proxima Cen",217.3934657,-62.6761821,1.30119000,11.0100000,2025,"Radial Velocity"
"Barnard c","Barnard's star",269.4486144,4.7379808,1.82655000,9.5400000,2025,"Radial Velocity"
"GJ 887 b","GJ 887",346.5027573,-35.8473489,3.28679000,7.5600000,2020,"Radial Velocity"
"GJ 229 A c","GJ 229",92.6435993,-21.8677233,5.75624000,8.1500000,2020,"Radial Velocity"
"GJ 581 c","GJ 581",229.8564725,-7.7226935,6.29810000,10.5700000,2007,"Radial Velocity"
"61 Vir b","61 Vir",199.5964550,-18.3157745,8.50332000,4.6955000,2009,"Radial Velocity"
"Ross 508 b","Ross 508",230.9613022,17.4605347,11.21030000,14.1800000,2022,"Radial Velocity"
"GJ 180 d","GJ 180",73.4600970,-17.7761940,11.94070000,10.9140000,2020,"Radial Velocity"
"GJ 317 b","GJ 317",130.2445254,-23.4528090,15.19680000,12.4000000,2007,"Radial Velocity"
"GJ 3942 b","GJ 3942",242.2645452,52.9441443,16.92870000,10.1660000,2017,"Radial Velocity"
"GJ 3998 b","GJ 3998",259.0020507,11.0561751,18.14590000,10.8440000,2016,"Radial Velocity"
"16 Cyg B b","16 Cyg B",295.4656422,50.5168243,21.13970000,6.2150000,1996,"Radial Velocity"
"HD 4308 b","HD 4308",11.1652594,-65.6527159,22.01580000,6.5500000,2005,"Radial Velocity"
"HD 1461 c","HD 1461",4.6762645,-8.0536206,23.45340000,6.4793300,2015,"Radial Velocity"
"HIP 70849 b","HIP 70849",217.3270762,-46.4646840,24.05720000,10.4210000,2011,"Radial Velocity"
"HD 150706 b","HD 150706",247.8255687,79.7894032,28.26970000,7.0300000,2012,"Radial Velocity"
"HD 64114 b","HD 64114",117.9825560,-11.0337221,31.52620000,7.7100000,2019,"Radial Velocity"
"HD 98736 b","HD 98736",170.4549045,18.1896082,32.44590000,7.9300000,2018,"Radial Velocity"
"HD 40979 b","HD 40979",91.1253346,44.2597855,34.08830000,6.7551200,2002,"Radial Velocity"
"HD 196885 A b","HD 196885 A",309.9664609,11.2500236,34.16920000,6.3967700,2007,"Radial Velocity"
"HD 92788 c","HD 92788",160.7021351,-2.1847173,34.65380000,7.3163700,2019,"Radial Velocity"
"TOI-7166 b","TOI-7166",320.6806363,8.8893975,35.41530000,15.7900000,2025,"Transit"
"HD 169830 c","HD 169830",276.9561859,-29.8167919,37.60480000,5.9000000,2003,"Radial Velocity"
"GJ 2126 b","GJ 2126",257.3606793,-35.3917190,38.12900000,10.7000000,2025,"Radial Velocity"
"TOI-1759 b","TOI-1759",326.8516615,62.7538164,40.06540000,11.9300000,2022,"Transit"
"HR 8799 e","HR 8799",346.8701486,21.1340376,41.24410000,5.9800000,2010,"Imaging"
"HR 8799 b","HR 8799",346.8701486,21.1340376,41.24410000,5.9800000,2008,"Imaging"
"TOI-1776 b","TOI-1776",164.7772913,40.9837182,44.64700000,8.2600000,2024,"Transit"
"HD 15906 b","HD 15906",38.2712534,-10.3521780,45.56210000,9.7800000,2023,"Transit"
"TOI-1860 b","TOI-1860",226.4567308,64.0476821,45.86400000,8.4000000,2022,"Transit"
"HD 24040 b","HD 24040",57.5962104,17.4752873,46.62240000,7.5150000,2006,"Radial Velocity"
"TOI-206 b","TOI-206",73.7382202,-62.5218740,47.74650000,14.9380000,2022,"Transit"
"HD 196050 b","HD 196050",309.4637796,-60.6347649,50.67420000,7.5000000,2002,"Radial Velocity"
"HD 72659 c","HD 72659",128.5128072,-1.5686323,51.89490000,7.4600000,2022,"Radial Velocity"
"HD 191939 c","HD 191939",302.0256247,66.8503014,53.60890000,8.9700000,2020,"Transit"
"HD 89839 b","HD 89839",155.1688790,-53.6640291,57.30630000,7.6400000,2023,"Radial Velocity"
"HD 74156 b","HD 74156",130.6047813,4.5772338,57.60300000,7.6100000,2003,"Radial Velocity"
"HD 207832 c","HD 207832",328.1517893,-26.0271749,58.92910000,8.7800000,2012,"Radial Velocity"
"TOI-286 b","TOI-286",90.9842762,-60.6663348,59.22930000,9.8660000,2024,"Transit"
"HIP 65407 c","HIP 65407",201.0876630,48.8847322,61.78040000,9.3800000,2016,"Radial Velocity"
"HD 188641 b","HD 188641",299.4048303,-37.7448845,64.33990000,7.3400000,2022,"Radial Velocity"
"TOI-1203 e","TOI-1203",168.2267358,-34.4069371,64.99430000,8.5900000,2025,"Radial Velocity"
"HD 27969 b","HD 27969",66.7068364,42.9087200,67.93280000,7.6600000,2021,"Radial Velocity"
