OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
COSMOS 2251,1993-036A,2026-08-03T13:48:03.720384,14.33263505,.00260177,74.0373,248.6206,276.2223,83.5964,0,U,22675,999,73123,.2278497E-4,.37E-6,0
COSMOS 2251 DEB,1993-036E,2026-08-03T19:58:00.080832,14.32632347,.00154739,74.0350,256.2503,220.7616,253.8056,0,U,33757,999,91348,.20287933E-4,.29E-6,0
COSMOS 2251 DEB,1993-036F,2026-08-03T21:04:56.428032,14.53042897,.0016192,74.0279,133.4139,151.2765,283.1936,0,U,33758,999,91704,.53387656E-3,.2181E-4,0
COSMOS 2251 DEB,1993-036H,2026-08-03T10:04:00.300288,14.35799389,.0021739,74.0296,212.5388,258.5562,252.2604,0,U,33760,999,91478,.57048397E-4,.139E-5,0
COSMOS 2251 DEB,1993-036J,2026-08-03T07:38:16.224576,14.43126616,.0023683,74.0352,178.5507,209.0292,302.4535,0,U,33761,999,91603,.26184399E-3,.855E-5,0
COSMOS 2251 DEB,1993-036K,2026-08-03T20:08:30.794784,14.33726351,.00164022,74.0391,242.0190,252.3952,282.9522,0,U,33762,999,91402,.17767133E-4,.23E-6,0
COSMOS 2251 DEB,1993-036M,2026-08-03T15:40:24.078144,14.39928627,.00204729,74.0317,200.5547,109.0789,14.1654,0,U,33764,999,91523,.20847018E-3,.631E-5,0
COSMOS 2251 DEB,1993-036N,2026-08-03T21:37:22.924992,15.27124494,.00480107,73.9993,42.2525,74.3140,286.3350,0,U,33765,999,93173,.19896323E-2,.55118E-3,0
COSMOS 2251 DEB,1993-036P,2026-08-03T22:11:39.311520,14.35608557,.00634197,74.1850,69.4438,206.2543,153.5393,0,U,33766,999,91105,.31169281E-3,.894E-5,0
COSMOS 2251 DEB,1993-036R,2026-08-03T10:13:27.080832,13.58632876,.03680218,74.0672,202.6257,308.4609,206.9063,0,U,33768,999,86469,.18711545E-3,.189E-5,0
COSMOS 2251 DEB,1993-036U,2026-08-03T16:06:26.447616,14.75594365,.00149972,74.0428,74.9944,59.7210,357.5398,0,U,33779,999,91973,.14909073E-2,.10171E-3,0
COSMOS 2251 DEB,1993-036X,2026-08-03T16:03:48.078144,14.40982272,.00215034,74.0310,204.6936,220.9567,259.4482,0,U,33782,999,91495,.24168366E-3,.752E-5,0
COSMOS 2251 DEB,1993-036AA,2026-08-03T23:50:43.329984,14.75111171,.00172955,73.8663,318.7440,216.7108,260.5449,0,U,33785,999,91956,.14603868E-2,.9854E-4,0
COSMOS 2251 DEB,1993-036AE,2026-08-03T14:00:00.681408,13.89094304,.02400807,74.0623,50.4168,111.2283,312.7829,0,U,33789,999,88342,.40193093E-3,.593E-5,0
COSMOS 2251 DEB,1993-036AG,2026-08-03T18:16:54.747264,14.44151174,.00281571,74.1750,326.2018,87.9278,34.8902,0,U,33791,999,91429,.33834431E-3,.114E-4,0
COSMOS 2251 DEB,1993-036AH,2026-08-03T18:56:09.623328,13.46194485,.04310369,73.9013,331.4034,354.7020,172.0200,0,U,33792,999,85591,.2592808E-3,.251E-5,0
COSMOS 2251 DEB,1993-036AJ,2026-08-03T17:42:07.293024,14.28398690,.00777465,73.9799,84.3540,181.6217,247.2759,0,U,33793,999,90547,.34760449E-3,.872E-5,0
COSMOS 2251 DEB,1993-036AL,2026-08-03T16:02:31.157952,15.17190856,.00294203,74.0461,312.6485,337.3506,78.1015,0,U,33795,999,93556,.13312648E-2,.26808E-3,0
COSMOS 2251 DEB,1993-036AN,2026-08-03T15:54:10.281600,14.58781747,.00626592,74.0473,309.9978,337.1262,93.0921,0,U,33797,999,92395,.23827254E-3,.1113E-4,0
COSMOS 2251 DEB,1993-036AP,2026-08-03T16:14:26.083392,14.44835921,.00904493,74.0279,60.0761,124.1794,304.1080,0,U,33798,999,91972,.11127146E-3,.379E-5,0
COSMOS 2251 DEB,1993-036AQ,2026-08-03T18:12:06.184224,14.85769485,.00242868,74.0339,338.6221,355.5623,62.3245,0,U,33799,999,92280,.13934418E-2,.12161E-3,0
COSMOS 2251 DEB,1993-036AW,2026-08-03T10:25:05.029536,14.58357208,.0061112,74.0282,226.5613,354.0153,6.0274,0,U,33805,999,92633,.17591397E-3,.804E-5,0
COSMOS 2251 DEB,1993-036BC,2026-08-03T08:41:23.775936,15.15020817,.00323127,73.8281,174.2098,214.4844,304.9647,0,U,33811,999,93545,.1342246E-2,.25457E-3,0
COSMOS 2251 DEB,1993-036BH,2026-08-03T16:18:48.664224,13.82121580,.02650154,73.8935,68.7502,37.5589,324.3720,0,U,33816,999,87905,.34432586E-3,.462E-5,0
COSMOS 2251 DEB,1993-036BK,2026-08-03T13:25:01.725600,15.41973114,.00032069,74.0706,32.7579,294.3824,65.7050,0,U,33818,999,93429,.27246907E-2,.117876E-2,0
COSMOS 2251 DEB,1993-036BL,2026-08-03T20:03:24.142176,14.32993488,.00895405,74.1795,146.1082,300.8270,82.6858,0,U,33819,999,90848,.47819097E-3,.1343E-4,0
COSMOS 2251 DEB,1993-036BN,2026-08-03T19:34:01.191648,15.41654503,.00342774,74.0256,1.5772,331.9581,27.9779,0,U,33821,999,78589,.845678E-3,.3653E-3,0
COSMOS 2251 DEB,1993-036BP,2026-08-03T21:10:17.338368,14.14299703,.01506351,74.0680,139.8298,129.9345,297.0588,0,U,33822,999,89363,.61125962E-3,.1279E-4,0
COSMOS 2251 DEB,1993-036BQ,2026-08-03T03:37:45.736320,13.99430512,.020793,73.8090,100.0676,184.7492,330.7930,0,U,33823,999,88874,.49692457E-3,.846E-5,0
COSMOS 2251 DEB,1993-036BS,2026-08-03T22:49:44.950944,14.73298985,.00764828,73.9826,290.8450,202.6704,332.3052,0,U,33825,999,92325,.77832654E-3,.5243E-4,0
COSMOS 2251 DEB,1993-036BT,2026-08-03T19:06:23.605920,14.54583899,.00835732,74.0645,328.7480,315.7345,207.1477,0,U,33826,999,91169,.32546596E-3,.1424E-4,0
COSMOS 2251 DEB,1993-036BV,2026-08-03T14:37:18.674688,14.44964624,.00289271,74.0461,162.9337,182.8739,351.4926,0,U,33828,999,91690,.274226E-3,.934E-5,0
COSMOS 2251 DEB,1993-036BX,2026-08-03T20:03:56.176704,14.79451526,.00422611,74.0311,130.3068,193.7462,229.0303,0,U,33830,999,92931,.48657476E-3,.3655E-4,0
COSMOS 2251 DEB,1993-036BZ,2026-08-03T19:19:54.012000,14.63437630,.00219191,74.0541,122.2191,99.2298,317.5724,0,U,33832,999,91846,.76614381E-3,.3951E-4,0
COSMOS 2251 DEB,1993-036CC,2026-08-03T19:25:42.538368,14.64179826,.0054908,74.0571,12.5984,5.0389,115.0404,0,U,33835,999,92213,.3958554E-3,.2098E-4,0
COSMOS 2251 DEB,1993-036CD,2026-08-03T14:18:18.675072,14.83630552,.00243215,73.9962,155.8515,300.5194,234.5605,0,U,33836,999,67552,.10050665E-2,.8311E-4,0
