OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
FENGYUN 1C,1999-025A,2026-08-13T03:57:31.337856,14.27142690,.0013985,98.8622,299.4419,97.0603,263.2168,0,U,25730,999,40608,.32322E-3,.744E-5,0
FENGYUN 1C DEB,1999-025X,2026-08-13T01:02:42.071136,12.96873853,.056519,99.2062,249.0154,0.3370,51.0967,0,U,29733,999,92273,-.13027E-3,-.114E-5,0
FENGYUN 1C DEB,1999-025Y,2026-08-13T04:37:19.363872,12.91986647,.060429,99.1675,120.3992,172.9395,349.6693,0,U,29734,999,91691,.19903E-2,.1185E-4,0
FENGYUN 1C DEB,1999-025Z,2026-08-13T02:58:11.435808,12.75880275,.0705718,99.3853,104.6329,355.7353,3.7929,0,U,29735,999,90518,.72764E-3,.406E-5,0
FENGYUN 1C DEB,1999-025AA,2026-08-12T23:49:39.520128,12.57760454,.0724678,99.4354,3.1570,36.7125,72.2911,0,U,29736,999,89602,-.49156E-3,-.255E-5,0
FENGYUN 1C DEB,1999-025AB,2026-08-12T05:46:20.983296,12.66317552,.07022846,99.5765,144.5371,333.9576,184.3345,0,U,29737,999,89937,-.8884632E-3,-.483E-5,0
FENGYUN 1C DEB,1999-025AC,2026-08-12T07:13:45.124608,12.62467059,.08554538,99.4187,352.4669,127.1153,241.1259,0,U,29738,999,89276,.57522957E-3,.41E-5,0
FENGYUN 1C DEB,1999-025AE,2026-08-12T23:28:31.099008,12.08719960,.0974666,99.0658,12.3650,73.3555,297.2123,0,U,29740,999,85873,-.10229E-2,-.418E-5,0
FENGYUN 1C DEB,1999-025AF,2026-08-12T10:54:41.003136,12.01666607,.10241914,99.1868,35.0688,307.1540,67.7095,0,U,29741,999,55098,.14243106E-2,.534E-5,0
FENGYUN 1C DEB,1999-025AN,2026-08-13T02:21:35.002656,11.93236947,.0717833,100.0116,99.6794,293.6038,59.1239,0,U,29748,999,81632,-.51469E-1,-.7968E-4,0
FENGYUN 1C DEB,1999-025AQ,2026-08-13T01:39:05.971968,14.09842438,.0035277,98.7320,252.2127,334.0149,88.5939,0,U,29750,999,490,.9979E-4,.134E-5,0
