OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
GLOBALSTAR M069,2007-020C,2026-08-12T10:09:24.833376,12.23473458,.00011058,52.0026,92.9555,277.7325,253.2451,0,U,31573,999,88568,.13707172E-3,-.78E-6,0
GLOBALSTAR M072,2007-020D,2026-08-13T03:51:26.341056,11.91659201,.0001545,51.9949,308.5696,79.7193,289.8225,0,U,31574,999,88177,.35895E-3,-.58E-6,0
GLOBALSTAR M066,2007-048C,2026-08-12T11:22:06.233664,12.30390706,.00050132,51.9576,256.3328,159.4022,347.5491,0,U,32265,999,86715,.77793544E-4,-.85E-6,0
GLOBALSTAR M079,2010-054A,2026-08-13T05:19:27.249888,12.62266935,.000079,52.0049,295.0514,119.8688,273.3832,0,U,37188,999,72975,.14897E-3,-.77E-6,0
GLOBALSTAR M074,2010-054B,2026-08-12T10:50:47.827680,12.62262332,.00004804,52.0025,296.6524,130.9501,241.5819,0,U,37189,999,73026,.18810414E-3,-.7E-6,0
GLOBALSTAR M076,2010-054C,2026-08-13T04:36:57.166848,12.62263103,.0000699,52.0034,294.6066,135.3935,243.1625,0,U,37190,999,73007,.17288E-3,-.73E-6,0
GLOBALSTAR M077,2010-054D,2026-08-12T21:41:39.791328,11.67547982,.0002052,51.9973,35.3386,282.9223,225.2354,0,U,37191,999,72776,.11898E-3,-.71E-6,0
GLOBALSTAR M075,2010-054E,2026-08-12T12:08:42.885024,12.62268161,.00006996,51.9973,338.7152,99.8188,339.7826,0,U,37192,999,72905,.70156052E-4,-.91E-6,0
GLOBALSTAR M073,2010-054F,2026-08-13T03:08:59.613792,12.62267581,.0000534,52.0041,250.9571,131.1956,268.9515,0,U,37193,999,73112,.90342E-4,-.88E-6,0
GLOBALSTAR M083,2011-033A,2026-08-13T05:13:13.843776,12.62258328,.0000429,51.9842,198.8435,105.7884,267.2183,0,U,37739,999,70015,-.56293E-4,-.114E-5,0
GLOBALSTAR M088,2011-033B,2026-08-13T01:29:46.582944,12.62269825,.0000659,52.0209,105.8810,62.3442,84.6999,0,U,37740,999,69567,.14069E-3,-.79E-6,0
GLOBALSTAR M091,2011-033C,2026-08-13T00:00:02.973888,12.62264490,.0000952,51.9998,68.9522,74.5098,89.4396,0,U,37741,999,69645,.44685E-4,-.96E-6,0
GLOBALSTAR M085,2011-033D,2026-08-12T21:47:29.764032,12.62264546,.0001026,52.0143,20.5734,89.1060,76.2978,0,U,37742,999,69695,-.48453E-4,-.112E-5,0
GLOBALSTAR M081,2011-033E,2026-08-12T22:27:07.047936,12.62265733,.000088,51.9976,22.8606,97.2843,73.2590,0,U,37743,999,69710,-.52392E-5,-.105E-5,0
GLOBALSTAR M089,2011-033F,2026-08-12T15:26:53.836224,12.62267733,.00005079,51.9955,337.8988,127.0794,338.0785,0,U,37744,999,69791,.476645E-5,-.103E-5,0
GLOBALSTAR M084,2011-080A,2026-08-13T03:02:05.031168,12.62269905,.0000139,51.9987,203.9390,161.3595,278.2828,0,U,38040,999,67595,-.83684E-4,-.119E-5,0
GLOBALSTAR M080,2011-080B,2026-08-13T04:16:25.919328,12.62258169,.0000623,52.0037,205.5217,45.0414,38.2357,0,U,38041,999,67608,-.94238E-4,-.121E-5,0
GLOBALSTAR M082,2011-080C,2026-08-13T04:58:12.429120,12.62274923,.0000696,52.0066,160.9377,55.3287,91.1788,0,U,38042,999,67679,-.8445E-4,-.119E-5,0
GLOBALSTAR M092,2011-080D,2026-08-12T13:14:18.226176,12.62268423,.00002942,52.0073,253.3359,119.4394,45.9805,0,U,38043,999,67516,-.702992E-6,-.104E-5,0
GLOBALSTAR M090,2011-080E,2026-08-13T03:30:32.556096,12.62269788,.0000672,52.0114,155.0976,72.6333,35.6813,0,U,38044,999,67690,-.56229E-4,-.114E-5,0
GLOBALSTAR M086,2011-080F,2026-08-13T00:03:31.667040,12.62288518,.0001099,51.9889,155.3707,147.8160,292.6660,0,U,38045,999,67683,-.33549E-4,-.11E-5,0
