OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
HULIANWANG DIGUI-01,2024-240A,2026-08-13T04:31:10.577568,13.24412549,.0002106,86.5035,324.0159,97.6410,262.4964,0,U,62323,999,8018,-.39539E-5,.13E-6,0
HULIANWANG DIGUI-02,2024-240B,2026-08-13T04:41:55.436928,13.24412365,.0002106,86.5064,324.1885,98.4232,261.7141,0,U,62324,999,8019,-.97571E-5,.1E-6,0
HULIANWANG DIGUI-03,2024-240C,2026-08-13T04:20:18.718080,13.24411211,.000206,86.5017,323.9109,95.8355,264.3014,0,U,62325,999,8018,-.34336E-5,.13E-6,0
HULIANWANG DIGUI-04,2024-240D,2026-08-13T04:09:27.026208,13.24411420,.0002113,86.5027,323.9595,92.8147,267.3228,0,U,62326,999,8018,-.25464E-5,.14E-6,0
HULIANWANG DIGUI-05,2024-240E,2026-08-13T03:58:33.288384,13.24412085,.0002054,86.5079,324.2624,90.4500,269.6870,0,U,62327,999,8018,.36243E-4,.3E-6,0
HULIANWANG DIGUI-06,2024-240F,2026-08-13T05:25:39.906048,13.24409595,.0002244,86.5016,323.8643,94.9679,265.1711,0,U,62328,999,8019,.93245E-4,.55E-6,0
HULIANWANG DIGUI-07,2024-240G,2026-08-13T05:14:41.165664,13.24412093,.0002132,86.4986,323.6892,96.3567,263.7810,0,U,62329,999,8019,.74044E-4,.46E-6,0
HULIANWANG DIGUI-08,2024-240H,2026-08-13T03:47:39.717312,13.24412490,.0002088,86.5071,324.2092,89.1057,271.0317,0,U,62330,999,8018,.94244E-4,.55E-6,0
HULIANWANG DIGUI-09,2024-240J,2026-08-13T05:03:50.768064,13.24410945,.0002062,86.5036,324.0337,96.5598,263.5771,0,U,62331,999,8018,.38248E-4,.31E-6,0
HULIANWANG DIGUI-10,2024-240K,2026-08-13T04:52:56.923104,13.24411802,.0002183,86.5066,324.2057,95.4951,264.6432,0,U,62332,999,8018,.2361E-4,.25E-6,0
HULIANWANG DIGUI-11,2025-030A,2026-08-12T23:54:07.906176,13.29325527,.0000617,50.0019,32.0618,0.5776,359.5097,0,U,62971,999,7341,.53725E-5,-.122E-5,0
HULIANWANG DIGUI-12,2025-030B,2026-08-13T00:06:10.274112,13.29323304,.0000578,50.0035,32.1705,359.2784,0.8088,0,U,62972,999,7341,.27384E-5,-.123E-5,0
HULIANWANG DIGUI-13,2025-030C,2026-08-12T23:41:55.165920,13.29325198,.0000382,50.0038,32.0990,1.8059,358.2814,0,U,62973,999,7341,-.82279E-5,-.128E-5,0
HULIANWANG DIGUI-14,2025-030D,2026-08-13T00:54:09.384768,13.29325513,.0000406,50.0044,31.7232,10.0056,350.0824,0,U,62974,999,7342,.77504E-5,-.12E-5,0
HULIANWANG DIGUI-15,2025-030E,2026-08-12T23:29:55.514400,13.29325442,.0000493,50.0039,32.0589,6.8224,353.2655,0,U,62975,999,7341,-.41557E-5,-.126E-5,0
HULIANWANG DIGUI-16,2025-030F,2026-08-13T00:42:13.951296,13.29326595,.0000365,50.0061,31.7536,6.1914,353.8963,0,U,62976,999,7342,-.27292E-5,-.125E-5,0
HULIANWANG DIGUI-17,2025-030G,2026-08-13T00:30:03.512736,13.29326777,.0000485,50.0074,31.7639,353.0481,7.0384,0,U,62977,999,7342,-.44807E-5,-.126E-5,0
HULIANWANG DIGUI-18,2025-030H,2026-08-13T00:18:02.730240,13.29324209,.0000503,50.0078,31.7362,348.4794,11.6067,0,U,62978,999,7342,-.25005E-4,-.136E-5,0
HULIANWANG DIGUI-19,2025-030J,2026-08-12T23:18:15.045408,13.29319962,.0000417,50.0063,32.1190,348.3472,11.7390,0,U,62979,999,7341,.98774E-5,-.119E-5,0
HULIANWANG DIGUI-20,2025-086A,2026-08-13T05:09:16.216128,13.24412968,.0002353,86.5045,293.9285,98.6325,261.5075,0,U,63687,999,6242,.1191E-3,.66E-6,0
HULIANWANG DIGUI-21,2025-086B,2026-08-13T03:31:26.672736,13.24411614,.0002417,86.5073,294.0247,101.2211,258.9195,0,U,63688,999,6240,.11513E-3,.64E-6,0
HULIANWANG DIGUI-22,2025-086C,2026-08-13T03:42:15.757056,13.24411995,.000236,86.5038,293.8709,97.3920,262.7483,0,U,63689,999,6240,.99755E-4,.57E-6,0
HULIANWANG DIGUI-23,2025-086D,2026-08-13T04:03:59.609952,13.24411783,.0002358,86.5080,294.0671,98.3605,261.7796,0,U,63690,999,6240,.44316E-4,.34E-6,0
HULIANWANG DIGUI-24,2025-086E,2026-08-13T04:14:54.262752,13.24412391,.0002416,86.5087,294.1018,100.1305,260.0102,0,U,63691,999,6240,.23594E-4,.25E-6,0
HULIANWANG DIGUI-25,2025-086F,2026-08-13T04:25:48.052416,13.24411774,.0002321,86.5025,293.8260,100.0358,260.1038,0,U,63692,999,6240,.25613E-4,.26E-6,0
HULIANWANG DIGUI-26,2025-086G,2026-08-13T03:53:08.934144,13.24410855,.0002604,86.5075,294.0356,98.2967,261.8462,0,U,63693,999,6240,.73369E-4,.46E-6,0
HULIANWANG DIGUI-27,2025-086H,2026-08-13T04:36:35.134848,13.24413568,.0002399,86.5035,293.8726,99.5875,260.5530,0,U,63694,999,6240,.49498E-4,.36E-6,0
HULIANWANG DIGUI-28,2025-086J,2026-08-13T04:58:20.665632,13.24412431,.000235,86.4999,293.7166,97.2442,262.8959,0,U,63695,999,6240,.10159E-3,.58E-6,0
HULIANWANG DIGUI-29,2025-086K,2026-08-13T04:47:30.241248,13.24412784,.0002347,86.5027,293.8426,101.0732,259.0666,0,U,63696,999,6240,.71653E-4,.45E-6,0
HULIANWANG DIGUI-30,2025-121A,2026-08-13T03:09:29.815776,13.24409336,.0001552,86.5029,354.3463,92.7100,267.4211,0,U,64283,999,5769,-.17702E-3,-.61E-6,0
HULIANWANG DIGUI-31,2025-121B,2026-08-13T02:58:32.220192,13.24414869,.0001636,86.5054,354.4308,93.6125,266.5196,0,U,64284,999,5769,-.66255E-4,-.14E-6,0
HULIANWANG DIGUI-32,2025-121C,2026-08-13T02:47:34.737792,13.24410829,.0001769,86.4996,354.1719,95.5511,264.5825,0,U,64285,999,5769,-.65868E-4,-.14E-6,0
HULIANWANG DIGUI-33,2025-121D,2026-08-13T02:36:43.363008,13.24410384,.0001651,86.5053,354.4192,92.9311,267.2012,0,U,64286,999,5769,-.54586E-4,-.9E-7,0
HULIANWANG DIGUI-34,2025-121E,2026-08-13T04:14:39.751008,13.24411120,.0001369,86.5026,354.2938,83.2025,276.9265,0,U,64287,999,5770,-.12292E-4,.9E-7,0
HULIANWANG DIGUI-35,2025-159A,2026-08-13T03:20:24.535104,13.24414738,.0002402,86.4905,263.1874,4.8187,355.2970,0,U,64956,999,5066,.14107E-3,.75E-6,0
HULIANWANG DIGUI-36,2025-159B,2026-08-13T03:14:55.865184,13.24410158,.0001952,86.4925,263.2599,105.1737,254.9613,0,U,64957,999,5066,.1282E-3,.7E-6,0
HULIANWANG DIGUI-37,2025-159C,2026-08-13T04:52:47.661024,13.24410905,.0001857,86.4866,263.0080,100.1465,259.9879,0,U,64958,999,5067,.13815E-3,.74E-6,0
HULIANWANG DIGUI-38,2025-159D,2026-08-13T04:41:58.672608,13.24410558,.0001894,86.4924,263.2273,98.7773,261.3575,0,U,64959,999,5067,.11026E-3,.62E-6,0
HULIANWANG DIGUI-39,2025-159E,2026-08-13T04:31:05.018592,13.24410459,.0001976,86.4900,263.1321,100.3968,259.7388,0,U,64960,999,5067,.69547E-4,.45E-6,0
HULIANWANG DIGUI-40,2025-162A,2026-08-13T01:50:47.253120,13.29325514,.0000447,49.9998,61.8838,115.7150,244.3768,0,U,65043,999,5091,.39208E-4,-.106E-5,0
HULIANWANG DIGUI-41,2025-162B,2026-08-13T01:38:46.386816,13.29328395,.0000484,50.0007,61.8700,117.3740,242.7181,0,U,65044,999,5092,.39586E-4,-.106E-5,0
HULIANWANG DIGUI-42,2025-162C,2026-08-13T01:26:43.357920,13.29324058,.0000452,49.9982,61.7228,112.8110,247.2809,0,U,65045,999,5092,-.17649E-3,-.206E-5,0
HULIANWANG DIGUI-43,2025-162D,2026-08-13T03:02:57.138144,13.29327748,.0000443,49.9990,61.4622,105.8703,254.2218,0,U,65046,999,5093,.44205E-4,-.104E-5,0
HULIANWANG DIGUI-44,2025-162E,2026-08-13T02:51:00.775872,13.29320183,.0001473,50.0017,61.4991,73.3255,286.7779,0,U,65047,999,5094,.58026E-4,-.97E-6,0
HULIANWANG DIGUI-45,2025-162F,2026-08-13T00:50:38.275008,13.29328923,.0000447,50.0047,61.8150,113.7081,246.3838,0,U,65048,999,5092,.41422E-4,-.105E-5,0
HULIANWANG DIGUI-46,2025-162G,2026-08-13T02:26:54.582432,13.29328767,.0000423,50.0066,61.5560,115.8798,244.2117,0,U,65049,999,5093,.38807E-4,-.106E-5,0
HULIANWANG DIGUI-47,2025-162H,2026-08-13T02:14:53.368800,13.29328218,.0000392,50.0030,61.4076,113.9507,246.1406,0,U,65050,999,5093,.32398E-4,-.109E-5,0
HULIANWANG DIGUI-48,2025-162J,2026-08-13T02:02:50.118720,13.29328850,.0000438,50.0040,61.3935,112.9444,247.1475,0,U,65051,999,5093,.4521E-4,-.103E-5,0
HULIANWANG DIGUI-49,2025-168A,2026-08-13T03:32:31.644672,13.29323767,.0007843,50.0024,121.6727,277.2071,82.7909,0,U,65106,999,5026,.94487E-4,-.8E-6,0
HULIANWANG DIGUI-50,2025-168B,2026-08-13T03:20:25.088064,13.29323561,.000845,49.9995,121.5363,262.3232,97.6681,0,U,65107,999,5026,.99999E-4,-.78E-6,0
HULIANWANG DIGUI-51,2025-168C,2026-08-13T03:07:47.144928,13.29326864,.0009776,50.0031,121.6042,261.4364,98.5400,0,U,65108,999,5026,.94411E-4,-.8E-6,0
HULIANWANG DIGUI-52,2025-168D,2026-08-13T02:56:11.770944,13.29324682,.0009986,50.0025,121.5372,274.5090,85.4641,0,U,65109,999,5026,.93719E-4,-.8E-6,0
HULIANWANG DIGUI-53,2025-168E,2026-08-13T04:32:03.952896,13.29328122,.0008488,50.0032,121.2539,265.2252,94.7651,0,U,65110,999,5027,.88222E-4,-.83E-6,0
HULIANWANG DIGUI-54,2025-168F,2026-08-13T03:56:14.614656,13.29328218,.0010305,49.9983,120.9746,269.8285,90.1406,0,U,65111,999,5027,.92165E-4,-.81E-6,0
HULIANWANG DIGUI-55,2025-168G,2026-08-13T04:20:16.176192,13.29324498,.001137,49.9989,121.0758,265.7352,94.2221,0,U,65112,999,5027,.88474E-4,-.83E-6,0
HULIANWANG DIGUI-56,2025-168H,2026-08-13T04:08:22.166592,13.29323840,.0011527,49.9980,121.0072,286.2745,73.6859,0,U,65113,999,5027,.79331E-4,-.87E-6,0
HULIANWANG DIGUI-57,2025-168J,2026-08-13T03:44:16.253952,13.29328150,.0009153,50.0009,121.0096,278.2567,81.7267,0,U,65114,999,5028,.78657E-4,-.87E-6,0
HULIANWANG DIGUI-58,2025-174A,2026-08-13T03:42:22.346784,13.24405109,.0002029,86.4937,232.7738,96.9633,263.1731,0,U,65164,999,4833,-.15508E-3,-.52E-6,0
HULIANWANG DIGUI-59,2025-174B,2026-08-13T03:53:18.178944,13.24405109,.0002033,86.4898,232.6404,94.2987,265.8380,0,U,65165,999,4833,-.16402E-3,-.56E-6,0
HULIANWANG DIGUI-60,2025-174C,2026-08-13T04:04:10.396128,13.24404610,.0002092,86.4930,232.7566,96.7421,263.3951,0,U,65166,999,4833,-.1666E-3,-.57E-6,0
HULIANWANG DIGUI-61,2025-174D,2026-08-13T04:15:03.619008,13.24405183,.0002006,86.4938,232.7897,101.5023,258.6336,0,U,65167,999,4833,-.17346E-3,-.6E-6,0
HULIANWANG DIGUI-62,2025-174E,2026-08-13T04:25:43.143168,13.24406783,.0002138,86.4880,232.5859,99.5620,260.5755,0,U,65168,999,4833,-.1604E-3,-.54E-6,0
HULIANWANG DIGUI-63,2025-174F,2026-08-13T04:36:40.224672,13.24401120,.00021,86.4932,232.7743,102.7067,257.4302,0,U,65169,999,4833,-.15069E-3,-.5E-6,0
HULIANWANG DIGUI-64,2025-174G,2026-08-13T04:47:39.410880,13.24405072,.0002138,86.4891,232.6333,97.8499,262.2877,0,U,65170,999,4833,-.14113E-3,-.46E-6,0
HULIANWANG DIGUI-65,2025-174H,2026-08-13T03:20:33.059328,13.24404985,.0001962,86.4855,232.5367,99.2021,260.9335,0,U,65171,999,4832,-.15488E-3,-.52E-6,0
HULIANWANG DIGUI-66,2025-174J,2026-08-13T03:09:44.680032,13.24404690,.0002091,86.4890,232.6599,96.8364,263.3008,0,U,65172,999,4832,-.1477E-3,-.49E-6,0
HULIANWANG DIGUI-67,2025-174K,2026-08-13T03:31:24.441024,13.24406221,.0002039,86.4901,232.7063,97.0636,263.0730,0,U,65173,999,4829,-.15333E-3,-.51E-6,0
HULIANWANG DIGUI-68,2025-178A,2026-08-13T04:03:47.207232,13.24411757,.0001724,86.5027,354.2936,92.4560,267.6772,0,U,65228,999,4785,.10006E-4,.19E-6,0
HULIANWANG DIGUI-69,2025-178B,2026-08-13T03:53:01.330080,13.24413386,.0001719,86.5047,354.3620,95.3097,264.8233,0,U,65229,999,4785,.47433E-4,.35E-6,0
HULIANWANG DIGUI-70,2025-178C,2026-08-13T03:42:09.887904,13.24411389,.0001604,86.4980,354.1388,91.4279,268.7039,0,U,65230,999,4785,-.21896E-3,-.79E-6,0
