OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
IRIDIUM 33,1997-051C,2026-08-12T08:23:06.045792,14.35167995,.00094801,86.3913,326.3897,132.4987,227.7012,0,U,24946,999,51314,.30084444E-4,.106E-5,0
IRIDIUM 33 DEB,1997-051L,2026-08-12T07:57:19.198080,14.43727647,.00132244,86.4040,317.7731,75.4687,284.7980,0,U,33773,999,91847,.10393482E-3,.374E-5,0
IRIDIUM 33 DEB,1997-051N,2026-08-13T05:29:45.555072,14.42144103,.0015043,86.3642,305.5622,83.0196,304.0683,0,U,33775,999,91649,.14903E-3,.511E-5,0
IRIDIUM 33 DEB,1997-051P,2026-08-12T13:44:57.895584,14.38601598,.00165164,86.4086,338.7645,117.5353,253.6222,0,U,33776,999,91573,.97314281E-4,.318E-5,0
IRIDIUM 33 DEB,1997-051Q,2026-08-13T04:20:08.642112,14.57182137,.0008225,86.3766,289.1811,141.3541,218.8258,0,U,33777,999,92077,.31012E-3,.1421E-4,0
IRIDIUM 33 DEB,1997-051T,2026-08-13T04:26:46.932288,14.42786138,.0014138,86.3391,285.4567,87.8252,294.4364,0,U,33850,999,91662,.20845E-3,.715E-5,0
IRIDIUM 33 DEB,1997-051W,2026-08-13T01:24:01.332000,13.99931530,.0207794,85.9958,243.0139,209.1442,177.3385,0,U,33853,999,88749,.34527E-3,.628E-5,0
IRIDIUM 33 DEB,1997-051AD,2026-08-13T04:38:14.097408,14.70754895,.0007724,86.3792,279.1354,198.6456,219.3585,0,U,33860,999,92297,.33387E-3,.206E-4,0
IRIDIUM 33 DEB,1997-051AF,2026-08-13T04:21:04.910112,14.73936421,.0045151,86.4072,289.7240,304.1730,108.1615,0,U,33862,999,92405,.17319E-3,.118E-4,0
IRIDIUM 33 DEB,1997-051AK,2026-08-12T08:45:14.793120,14.26651593,.01147701,86.3047,350.2693,102.0722,312.8172,0,U,33866,999,90268,.65122281E-3,.1707E-4,0
IRIDIUM 33 DEB,1997-051AP,2026-08-13T04:22:00.515424,14.46990127,.0022869,86.3767,313.8278,94.7148,288.1650,0,U,33870,999,91656,.23445E-3,.875E-5,0
IRIDIUM 33 DEB,1997-051BA,2026-08-12T21:41:43.051200,14.63014183,.0055469,86.3874,0.4183,71.9412,53.5796,0,U,33881,999,91048,.9408E-3,.4954E-4,0
IRIDIUM 33 DEB,1997-051BD,2026-08-13T03:48:10.138752,14.83902626,.0012891,86.3632,259.2664,161.0343,262.9998,0,U,33884,999,92450,.42177E-3,.3532E-4,0
IRIDIUM 33 DEB,1997-051BF,2026-08-12T08:07:16.451040,14.36299434,.00146641,86.3872,325.1134,164.5337,255.8593,0,U,33886,999,91534,.62638438E-4,.203E-5,0
IRIDIUM 33 DEB,1997-051BG,2026-08-13T03:12:02.177856,14.37426757,.000723,86.2997,258.4933,147.0254,282.3305,0,U,33887,999,91661,.50563E-4,.171E-5,0
IRIDIUM 33 DEB,1997-051BN,2026-08-12T23:35:41.153280,14.57423070,.0015809,86.3862,308.0349,9.2181,116.2622,0,U,33953,999,91844,.25279E-3,.117E-4,0
IRIDIUM 33 DEB,1997-051BV,2026-08-12T21:40:15.070080,14.95391039,.0003205,86.2587,173.7993,65.2769,354.0225,0,U,33960,999,92491,.48333E-3,.5364E-4,0
IRIDIUM 33 DEB,1997-051CB,2026-08-13T04:37:48.460800,14.50520009,.0009897,86.3926,301.4882,107.5740,282.0292,0,U,33966,999,91970,.16758E-3,.677E-5,0
IRIDIUM 33 DEB,1997-051CE,2026-08-13T04:20:56.860224,14.50525797,.0008191,86.3412,271.9134,34.0463,326.1266,0,U,34071,999,91862,.19044E-3,.766E-5,0
IRIDIUM 33 DEB,1997-051CL,2026-08-12T06:15:52.209216,14.68653855,.00066874,86.3856,304.3155,262.7354,155.7339,0,U,34077,999,91888,.45246127E-3,.2654E-4,0
IRIDIUM 33 DEB,1997-051CN,2026-08-13T03:03:34.811136,14.90837295,.0007083,86.3699,257.1841,170.4845,247.3759,0,U,34079,999,92596,.48323E-3,.4785E-4,0
IRIDIUM 33 DEB,1997-051CX,2026-08-13T03:17:24.192384,15.07481286,.0004466,86.3686,277.2942,65.2553,323.8178,0,U,34088,999,92390,.85297E-3,.12974E-3,0
IRIDIUM 33 DEB,1997-051DA,2026-08-12T12:03:20.651904,14.97895193,.00297668,86.3475,314.1310,148.0631,212.2412,0,U,34091,999,91484,.13272529E-2,.15812E-3,0
IRIDIUM 33 DEB,1997-051DG,2026-08-13T02:35:57.075072,14.36293104,.0077283,86.1951,253.7963,286.5561,72.7157,0,U,34097,999,90611,.20921E-3,.651E-5,0
IRIDIUM 33 DEB,1997-051DY,2026-08-12T23:12:46.852416,14.43872059,.0052259,86.2088,224.0112,14.0255,346.2383,0,U,34145,999,91146,.37708E-3,.1326E-4,0
IRIDIUM 33 DEB,1997-051DZ,2026-08-12T13:46:50.699424,14.50393422,.00281482,86.2784,242.3733,132.0941,352.8726,0,U,34146,999,91625,.26848854E-3,.1074E-4,0
IRIDIUM 33 DEB,1997-051EN,2026-08-13T05:08:50.627904,14.39039432,.0027119,86.3519,304.4104,203.2000,156.7976,0,U,34159,999,91460,.15101E-3,.488E-5,0
IRIDIUM 33 DEB,1997-051ES,2026-08-13T02:11:55.713120,14.45964365,.0022806,86.3228,257.1512,55.6797,357.5574,0,U,34350,999,91809,.10573E-3,.398E-5,0
IRIDIUM 33 DEB,1997-051FJ,2026-08-12T06:30:01.975680,14.56186564,.00209244,86.3690,303.6323,50.2815,11.2138,0,U,34366,999,91709,.38400218E-3,.1722E-4,0
IRIDIUM 33 DEB,1997-051FT,2026-08-13T02:59:52.204128,14.18407224,.01036,86.4253,84.5404,73.6556,87.1384,0,U,34375,999,90161,.18118E-3,.414E-5,0
IRIDIUM 33 DEB,1997-051FU,2026-08-13T03:02:54.199680,14.66754716,.002648,86.2902,256.6449,64.4403,295.9544,0,U,34376,999,91570,.49468E-3,.2793E-4,0
