OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
IRIDIUM 106,2017-003A,2026-08-13T02:18:46.350720,14.34217298,.000237,86.3915,64.7489,85.4838,274.6628,0,U,41917,999,50136,-.13568E-4,-.18E-6,0
IRIDIUM 103,2017-003B,2026-08-13T02:00:30.015072,14.34217345,.0002179,86.3914,64.6539,93.0854,267.0592,0,U,41918,999,50138,.12564E-4,.55E-6,0
IRIDIUM 109,2017-003C,2026-08-13T02:09:38.368224,14.34217373,.000216,86.3916,64.7117,89.5114,270.6329,0,U,41919,999,50135,.12386E-4,.54E-6,0
IRIDIUM 102,2017-003D,2026-08-13T01:23:58.245792,14.34217753,.0002183,86.3913,64.6471,87.1959,272.9487,0,U,41920,999,50143,.7587E-5,.41E-6,0
IRIDIUM 105,2017-003E,2026-08-12T22:43:53.035968,14.34217584,.0001907,86.3953,33.1251,93.1911,266.9503,0,U,41921,999,50327,-.2599E-5,.13E-6,0
IRIDIUM 104,2017-003F,2026-08-13T01:42:15.594048,14.34218091,.0001966,86.3914,64.6853,94.9472,265.1948,0,U,41922,999,50142,.91923E-5,.46E-6,0
IRIDIUM 114,2017-003G,2026-08-13T01:51:21.962592,14.34217537,.0002145,86.3915,64.6657,90.9420,269.2021,0,U,41923,999,50140,.83435E-5,.43E-6,0
IRIDIUM 108,2017-003H,2026-08-12T23:11:10.271904,14.34217841,.0002105,86.3947,33.0036,89.7092,270.4345,0,U,41924,999,50324,-.33982E-5,.1E-6,0
IRIDIUM 112,2017-003J,2026-08-13T01:33:06.300000,14.34217620,.0002096,86.3910,64.5102,89.4804,270.6632,0,U,41925,999,50142,.7514E-5,.41E-6,0
IRIDIUM 111,2017-003K,2026-08-13T01:14:50.265024,14.34217375,.0002075,86.3912,64.5875,89.1926,270.9507,0,U,41926,999,50140,-.11897E-4,-.14E-6,0
IRIDIUM 113,2017-039A,2026-08-13T04:06:55.167840,14.34218285,.0002216,86.3976,298.3665,97.0875,263.0573,0,U,42803,999,47935,.28483E-4,.1E-5,0
IRIDIUM 123,2017-039B,2026-08-12T14:02:27.004128,14.34217765,.0002375,86.4014,330.0714,95.7523,264.3944,0,U,42804,999,47803,.7166792E-5,.4E-6,0
IRIDIUM 120,2017-039C,2026-08-13T03:57:47.224224,14.34217955,.0002386,86.3964,298.1442,91.8190,268.3279,0,U,42805,999,47934,.14025E-4,.59E-6,0
IRIDIUM 115,2017-039D,2026-08-13T04:16:06.406752,14.43279351,.0002533,86.4502,298.2756,96.4772,263.6717,0,U,42806,999,48248,.30397E-4,.122E-5,0
IRIDIUM 118,2017-039E,2026-08-12T08:06:15.053472,14.34217144,.0002196,86.4014,330.1725,94.5561,265.5886,0,U,42807,999,47799,.34989059E-4,.118E-5,0
IRIDIUM 117,2017-039F,2026-08-12T08:33:38.935296,14.34218032,.00022772,86.4013,330.1217,95.4041,264.7414,0,U,42808,999,47802,.12913555E-4,.56E-6,0
IRIDIUM 126,2017-039G,2026-08-12T09:10:10.941312,14.34218109,.00022172,86.4015,330.1632,97.9440,262.2008,0,U,42809,999,47800,.23022259E-4,.84E-6,0
IRIDIUM 124,2017-039H,2026-08-13T04:20:38.716224,14.43280324,.0002437,86.4448,266.5253,94.5659,265.5820,0,U,42810,999,48333,.4119E-4,.159E-5,0
IRIDIUM 128,2017-039J,2026-08-12T22:20:34.736640,14.34217827,.000231,86.4002,1.4259,91.6884,268.4577,0,U,42811,999,47811,.35141E-5,.3E-6,0
IRIDIUM 121,2017-039K,2026-08-12T07:57:06.966432,14.34217959,.00022459,86.4015,330.2125,93.0245,267.1208,0,U,42812,999,47787,.11946945E-4,.53E-6,0
IRIDIUM 133,2017-061A,2026-08-12T21:25:46.735392,14.34217772,.0002205,86.4004,1.5610,91.7323,268.4126,0,U,42955,999,46290,.13375E-5,.24E-6,0
IRIDIUM 100,2017-061B,2026-08-12T21:16:38.678592,14.34217503,.0002171,86.4002,1.4807,92.0957,268.0488,0,U,42956,999,46290,.22901E-4,.84E-6,0
IRIDIUM 122,2017-061C,2026-08-12T22:11:26.703168,14.34217025,.0002097,86.3997,1.4656,94.8922,265.2513,0,U,42957,999,46291,-.4673E-4,-.111E-5,0
IRIDIUM 129,2017-061D,2026-08-12T21:07:30.648576,14.34217831,.0002006,86.4003,1.5515,95.3726,264.7699,0,U,42958,999,46292,-.11007E-5,.17E-6,0
IRIDIUM 119,2017-061E,2026-08-12T22:02:18.726720,14.34217276,.0002068,86.3999,1.5319,95.6114,264.5317,0,U,42959,999,46294,-.2162E-4,-.41E-6,0
IRIDIUM 107,2017-061F,2026-08-12T10:46:26.829696,14.34217977,.00024146,86.4003,1.7492,95.7061,264.4410,0,U,42960,999,46288,.21787014E-4,.81E-6,0
IRIDIUM 132,2017-061G,2026-08-12T20:58:22.653120,14.34217006,.0002101,86.3999,1.5512,93.7523,266.3913,0,U,42961,999,46294,-.12023E-4,-.14E-6,0
IRIDIUM 136,2017-061H,2026-08-12T21:44:02.681376,14.34217921,.0002192,86.4004,1.5445,91.7879,268.3568,0,U,42962,999,46296,.46266E-5,.33E-6,0
IRIDIUM 139,2017-061J,2026-08-12T21:53:10.739040,14.34217621,.0002233,86.4005,1.6048,92.6104,267.5347,0,U,42963,999,46297,.22334E-4,.82E-6,0
IRIDIUM 125,2017-061K,2026-08-12T21:34:54.774912,14.34217576,.0002345,86.4007,1.6722,106.2039,253.9415,0,U,42964,999,46298,.47597E-4,.153E-5,0
IRIDIUM 135,2017-083A,2026-08-13T03:39:31.259232,14.34217702,.0002257,86.3970,298.2075,95.0025,265.1429,0,U,43070,999,45231,.37826E-4,.126E-5,0
IRIDIUM 138,2017-083B,2026-08-13T04:16:03.178848,14.34217864,.0002233,86.3982,297.9012,98.8752,261.2697,0,U,43071,999,45230,.98943E-5,.47E-6,0
IRIDIUM 116,2017-083C,2026-08-13T05:10:51.256128,14.34218334,.0002476,86.3969,298.1663,89.2107,270.9372,0,U,43072,999,45234,.39271E-4,.13E-5,0
IRIDIUM 130,2017-083D,2026-08-13T04:25:11.248608,14.34218178,.000252,86.3977,298.4603,92.9373,267.2112,0,U,43073,999,45228,.25601E-4,.91E-6,0
IRIDIUM 151,2017-083E,2026-08-13T03:48:39.219264,14.34217541,.0002209,86.3967,298.2489,93.6689,266.4760,0,U,43074,999,45230,-.64795E-5,.2E-7,0
IRIDIUM 134,2017-083F,2026-08-13T04:43:27.199776,14.34217910,.0002344,86.3973,298.2420,94.9893,265.1571,0,U,43075,999,45227,.12295E-4,.54E-6,0
IRIDIUM 137,2017-083G,2026-08-13T03:21:15.199200,14.34217185,.0002127,86.3971,298.3597,83.7704,276.3734,0,U,43076,999,45233,-.62502E-4,-.155E-5,0
IRIDIUM 141,2017-083H,2026-08-13T03:12:07.206336,14.34217658,.000222,86.3969,298.1900,96.3525,263.7924,0,U,43077,999,45233,.38056E-4,.126E-5,0
IRIDIUM 153,2017-083J,2026-08-13T03:43:43.376160,14.34217707,.0002187,86.3926,266.6503,97.0823,263.0622,0,U,43078,999,45344,-.52884E-5,.5E-7,0
IRIDIUM 131,2017-083K,2026-08-13T04:34:19.157664,14.34217664,.0002109,86.3972,298.3557,95.2240,264.9196,0,U,43079,999,45227,-.35638E-5,.1E-6,0
IRIDIUM 144,2018-030A,2026-08-13T03:52:51.465792,14.34218308,.0002383,86.3923,266.5755,90.4457,269.7012,0,U,43249,999,43830,.38266E-4,.127E-5,0
