OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
KUIPER-00008,2025-088A,2026-08-13T03:14:33.427968,14.79928838,.0000914,51.9006,116.2066,100.3978,259.7087,0,U,63724,999,7121,-.52488E-4,-.621E-5,0
KUIPER-00009,2025-088B,2026-08-13T03:43:29.820000,15.07668707,.0000885,51.9018,130.9987,31.2080,328.8947,0,U,63725,999,7100,.25413E-3,.3637E-4,0
KUIPER-00010,2025-088C,2026-08-12T21:41:57.701184,14.79946108,.0000969,51.9021,112.3334,107.4820,252.6248,0,U,63726,999,7086,.10061E-3,.546E-5,0
KUIPER-00011,2025-088D,2026-08-12T22:18:51.135264,14.79956665,.0001055,51.9005,119.7666,93.8922,266.2161,0,U,63727,999,7089,.88454E-4,.453E-5,0
KUIPER-00012,2025-088E,2026-08-13T02:45:21.284352,14.79925048,.0000811,51.9019,103.8859,108.0423,252.0627,0,U,63728,999,7108,.15934E-3,.993E-5,0
KUIPER-00013,2025-088F,2026-08-13T01:06:13.745952,14.79942384,.0000865,51.9018,136.7093,92.3071,267.7991,0,U,63729,999,7072,.11603E-3,.664E-5,0
KUIPER-00014,2025-088G,2026-08-12T22:40:23.028672,14.79926310,.0000973,51.9025,137.1011,91.2847,268.8227,0,U,63730,999,7052,-.19978E-3,-.1744E-4,0
KUIPER-00015,2025-088H,2026-08-13T04:05:13.043040,14.79924595,.0001014,51.8992,146.1578,79.6118,280.4959,0,U,63731,999,7087,.94523E-4,.499E-5,0
KUIPER-00016,2025-088J,2026-08-13T03:28:13.743264,14.79945240,.0001033,51.9004,138.7272,90.9343,269.1738,0,U,63732,999,7051,.2448E-3,.1646E-4,0
KUIPER-00018,2025-088K,2026-08-12T23:40:39.679104,14.79926616,.0000994,51.9029,129.4643,96.0656,264.0420,0,U,63733,999,7063,-.19605E-3,-.1715E-4,0
KUIPER-00019,2025-088L,2026-08-13T00:19:13.736352,14.79940921,.0001272,51.9014,128.0993,94.2285,265.8823,0,U,63734,999,7065,.48096E-3,.3448E-4,0
KUIPER-00020,2025-088M,2026-08-13T02:51:15.221088,14.79925972,.0001027,51.9016,131.3781,88.5131,271.5949,0,U,63735,999,7082,.13745E-3,.827E-5,0
KUIPER-00021,2025-088N,2026-08-12T22:48:10.545120,14.79926148,.0000957,51.9008,132.0775,94.8897,265.2175,0,U,63736,999,7063,.94421E-4,.499E-5,0
KUIPER-00023,2025-088P,2026-08-13T01:10:06.674304,14.79927948,.000096,51.9008,134.1307,85.1266,274.9806,0,U,63737,999,7091,.1405E-3,.85E-5,0
KUIPER-00024,2025-088Q,2026-08-12T22:15:05.270976,14.79927829,.0000998,51.9032,122.2746,100.3028,259.8047,0,U,63738,999,7119,.93684E-4,.493E-5,0
KUIPER-00025,2025-088R,2026-08-13T03:43:46.130592,14.79946095,.0001127,51.9032,128.7461,87.5458,272.5633,0,U,63739,999,7098,.1936E-3,.1255E-4,0
KUIPER-00027,2025-088S,2026-08-13T03:02:53.264832,14.79935714,.0001255,51.9014,123.8353,95.4913,264.6192,0,U,63740,999,7078,.22879E-3,.1523E-4,0
KUIPER-00028,2025-088T,2026-08-13T02:18:09.877824,14.79927029,.0001088,51.9000,121.4185,99.1825,260.9260,0,U,63741,999,7122,.99778E-4,.539E-5,0
KUIPER-00029,2025-088U,2026-08-13T03:20:51.120384,14.79947644,.0001311,51.9017,119.9170,71.4748,288.6356,0,U,63742,999,7077,.12653E-3,.744E-5,0
KUIPER-00030,2025-088V,2026-08-12T23:25:07.290048,14.79940994,.0000922,51.9013,139.4639,81.5514,278.5553,0,U,63743,999,7077,.85702E-4,.432E-5,0
KUIPER-00031,2025-088W,2026-08-13T02:14:15.764928,14.79927607,.0000832,51.9011,123.9674,101.9859,258.1197,0,U,63744,999,7071,.13599E-3,.816E-5,0
KUIPER-00032,2025-088X,2026-08-12T14:02:11.783904,15.41649560,.00037172,51.8695,347.7722,319.4830,40.5881,0,U,63745,999,7356,.15954458E-3,.6427E-4,0
KUIPER-00033,2025-088Y,2026-08-13T04:42:10.391040,14.79923010,.0000969,51.8993,153.5121,73.7663,286.3406,0,U,63746,999,7079,-.12744E-3,-.1192E-4,0
KUIPER-00034,2025-088Z,2026-08-13T02:25:54.867936,14.79933228,.0000743,51.9017,116.4656,90.6350,269.4698,0,U,63747,999,7098,.89784E-4,.463E-5,0
KUIPER-00035,2025-088AA,2026-08-13T03:24:22.811616,14.79930263,.0000816,51.9000,141.2552,94.5631,265.5424,0,U,63748,999,7069,-.57345E-4,-.658E-5,0
KUIPER-00037,2025-088AB,2026-08-13T01:36:56.386656,14.79920214,.000093,51.9006,140.4452,86.0984,274.0085,0,U,63749,999,7148,.87859E-4,.448E-5,0
KUIPER-00038,2025-088AC,2026-08-12T22:07:16.898304,14.79945127,.0001136,51.9020,127.2589,94.7386,265.3706,0,U,63750,999,7065,.10298E-3,.564E-5,0
KUIPER-00039,2025-134A,2026-08-12T11:44:20.505408,14.79931853,.00002958,51.9016,264.1690,74.4441,285.6554,0,U,64500,999,6314,.3409984E-4,.39E-6,0
KUIPER-00040,2025-134B,2026-08-13T02:52:34.862016,14.79930631,.0000318,51.8986,271.4504,64.2441,295.8554,0,U,64501,999,6309,.16782E-3,.1058E-4,0
KUIPER-00041,2025-134C,2026-08-13T03:37:19.633152,14.79931961,.0000436,51.8978,273.7003,79.1871,280.9140,0,U,64502,999,6306,-.25995E-4,-.419E-5,0
KUIPER-00042,2025-134D,2026-08-13T02:56:26.693952,14.79929430,.0000417,51.8997,268.8057,92.2960,267.8050,0,U,64503,999,6313,.16052E-3,.1003E-4,0
KUIPER-00043,2025-134E,2026-08-13T03:08:08.769984,14.79937126,.0000332,51.9023,261.2747,65.3849,294.7147,0,U,64504,999,6324,.14852E-3,.911E-5,0
KUIPER-00044,2025-134F,2026-08-12T12:13:32.415744,14.79939800,.00002086,51.8995,276.5194,76.7493,283.3493,0,U,64505,999,6297,.16302181E-3,.1022E-4,0
KUIPER-00046,2025-134G,2026-08-13T02:04:01.852320,14.79926641,.0000341,51.8987,271.4435,78.6074,281.4927,0,U,64506,999,6309,.15061E-3,.927E-5,0
KUIPER-00047,2025-134H,2026-08-12T06:31:08.596992,14.79929017,.00004752,51.8990,247.5709,60.2085,299.8925,0,U,64507,999,6335,-.11096188E-3,-.1067E-4,0
KUIPER-00048,2025-134J,2026-08-12T10:34:16.842144,14.79934327,.00003677,51.8989,246.8375,65.8286,294.2715,0,U,64508,999,6338,.14663161E-3,.897E-5,0
KUIPER-00049,2025-134K,2026-08-12T11:03:27.129024,14.79929028,.00003821,51.8999,259.2160,68.4180,291.6823,0,U,64509,999,6321,.15070825E-3,.928E-5,0
KUIPER-00050,2025-134L,2026-08-12T08:16:10.876512,14.79927457,.00004601,51.9002,242.2513,47.7454,312.3547,0,U,64510,999,6344,.15865338E-3,.988E-5,0
KUIPER-00051,2025-134M,2026-08-13T02:41:25.050336,14.79931271,.0000529,51.9008,255.0316,87.4294,272.6729,0,U,64511,999,6332,.15174E-3,.936E-5,0
KUIPER-00053,2025-134P,2026-08-12T06:55:27.720192,14.81726393,.00012691,51.9007,253.5673,30.6533,329.4504,0,U,64513,999,6327,.15085184E-3,.976E-5,0
KUIPER-00054,2025-134Q,2026-08-12T08:53:07.501344,14.79931156,.00002639,51.8985,249.6249,53.5001,306.5986,0,U,64514,999,6333,.16051761E-3,.1003E-4,0
KUIPER-00055,2025-134R,2026-08-13T03:07:59.282400,14.79925202,.0000686,51.9011,198.9030,44.8183,315.2834,0,U,64515,999,6411,.16233E-3,.1016E-4,0
KUIPER-00056,2025-134S,2026-08-12T11:11:17.453472,14.79926428,.00003638,51.9020,254.3059,58.3648,301.7350,0,U,64516,999,6328,.14819337E-3,.909E-5,0
KUIPER-00057,2025-134T,2026-08-12T12:36:49.465728,14.79919337,.0000382,51.8997,261.4664,74.4280,285.6724,0,U,64517,999,6318,.16359E-3,.1026E-4,0
KUIPER-00058,2025-134U,2026-08-12T08:41:29.969952,14.79927370,.00003418,51.9012,257.1630,71.8462,288.2538,0,U,64518,999,6323,.15871554E-3,.989E-5,0
KUIPER-00059,2025-134V,2026-08-12T10:26:29.606496,14.79929470,.00003402,51.9015,251.8801,76.1227,283.9773,0,U,64519,999,6331,-.85122189E-4,-.87E-5,0
KUIPER-00060,2025-134W,2026-08-12T11:15:10.429344,14.79920497,.00003962,51.9025,251.8004,74.7123,285.3883,0,U,64520,999,6330,.15019982E-3,.924E-5,0
KUIPER-00061,2025-134X,2026-08-12T07:00:21.522528,14.79928105,.00005663,51.9003,260.0284,71.0815,289.0208,0,U,64521,999,6317,-.76148876E-4,-.801E-5,0
KUIPER-00062,2025-134Y,2026-08-12T11:48:13.071744,14.79922611,.0000362,51.8963,261.6076,63.1467,296.9532,0,U,64522,999,6318,.14646975E-3,.895E-5,0
KUIPER-00063,2025-134Z,2026-08-13T03:48:59.884416,14.79938382,.0000293,51.9032,266.2316,68.0409,292.0585,0,U,64523,999,6317,.15716E-3,.977E-5,0
KUIPER-00064,2025-134AA,2026-08-12T10:03:13.158720,14.79932727,.00003981,51.9031,266.9293,48.1775,311.9221,0,U,64524,999,6310,.15299314E-3,.945E-5,0
KUIPER-00065,2025-134AB,2026-08-12T09:55:27.931008,14.79938944,.00004575,51.9038,272.1253,96.5301,263.5713,0,U,64525,999,6301,-.28784146E-3,-.2415E-4,0
KUIPER-00066,2025-134AC,2026-08-13T02:56:19.934016,14.79936729,.0000634,51.9015,206.2621,55.2679,304.8343,0,U,64526,999,6401,.16414E-3,.103E-4,0
KUIPER-00069,2025-151A,2026-08-12T10:30:38.543040,14.79988693,.00006565,51.9032,311.9306,89.2487,270.8551,0,U,64816,999,5982,.19120383E-3,.1239E-4,0
KUIPER-00070,2025-151B,2026-08-12T12:17:37.636224,14.79927317,.00004094,51.9027,336.5071,102.3992,257.7017,0,U,64817,999,5949,.18611313E-3,.1198E-4,0
KUIPER-00071,2025-151C,2026-08-12T13:58:44.505984,14.79937634,.00004159,51.9029,333.7394,117.3966,242.7039,0,U,64818,999,5835,.20426944E-3,.1337E-4,0
KUIPER-00072,2025-151D,2026-08-13T04:16:19.286400,14.79945617,.000027,51.8991,311.0404,114.3140,245.7851,0,U,64819,999,5872,.20191E-3,.1319E-4,0
KUIPER-00073,2025-151E,2026-08-12T14:47:21.526368,14.79921852,.00003263,51.9019,333.5698,100.7952,259.3047,0,U,64820,999,5954,.20507888E-3,.1342E-4,0
KUIPER-00075,2025-151G,2026-08-13T04:00:01.998720,15.38134270,.0003884,51.8642,177.6866,91.1369,221.0909,0,U,64822,999,565,-.4807E-4,-.2229E-4,0
KUIPER-00076,2025-151H,2026-08-12T23:09:07.373952,14.79921767,.0000386,51.9026,322.0521,97.6992,262.4015,0,U,64823,999,5855,.19109E-3,.1236E-4,0
KUIPER-00077,2025-151J,2026-08-12T11:40:37.472448,14.79929454,.00007276,51.9013,329.1842,89.3237,270.7809,0,U,64824,999,5841,-.74749622E-4,-.791E-5,0
KUIPER-00078,2025-151K,2026-08-12T14:10:20.908992,14.79944738,.00002822,51.9019,326.2001,124.5713,235.5277,0,U,64825,999,5846,.19882773E-3,.1295E-4,0
KUIPER-00079,2025-151L,2026-08-12T11:36:45.021888,14.79935819,.00002835,51.9012,331.6303,93.4722,266.6273,0,U,64826,999,5957,.20364995E-3,.1332E-4,0
KUIPER-00080,2025-151M,2026-08-12T23:46:05.655936,14.79920739,.0000491,51.9018,329.4024,105.2480,254.8537,0,U,64827,999,5845,.20362E-3,.1331E-4,0
KUIPER-00082,2025-151N,2026-08-12T13:33:25.456608,14.79931736,.00003143,51.9034,318.8409,115.1591,244.9404,0,U,64828,999,5856,.18770061E-3,.121E-4,0
KUIPER-00083,2025-151P,2026-08-12T11:44:31.601760,14.79922073,.000037,51.9028,326.6579,91.2543,268.8462,0,U,64829,999,5963,.19059373E-3,.1232E-4,0
KUIPER-00084,2025-151Q,2026-08-12T14:43:27.641568,14.79942697,.00003388,51.9029,336.0932,93.4068,266.6934,0,U,64830,999,5832,.24769735E-3,.1668E-4,0
KUIPER-00085,2025-151R,2026-08-12T11:07:34.033440,14.79922408,.00004709,51.9049,319.3406,115.8985,244.2026,0,U,64831,999,5854,.2011885E-3,.1313E-4,0
KUIPER-00086,2025-151S,2026-08-12T14:06:31.352832,14.79918132,.00004921,51.9027,328.7311,115.2091,244.8923,0,U,64832,999,5842,.19549618E-3,.1269E-4,0
KUIPER-00087,2025-151T,2026-08-12T12:56:24.675072,14.79939364,.00002775,51.9010,311.4059,107.7169,252.3824,0,U,64833,999,5865,.18588573E-3,.1197E-4,0
KUIPER-00089,2025-151U,2026-08-13T05:01:05.547072,14.79931126,.0000258,51.9025,313.4652,83.6878,276.4114,0,U,64834,999,5869,-.2661E-3,-.2249E-4,0
KUIPER-00090,2025-151V,2026-08-13T05:12:46.848960,14.79926968,.000038,51.8999,305.9325,97.5570,262.5436,0,U,64835,999,5879,.17978E-3,.115E-4,0
KUIPER-00091,2025-151W,2026-08-12T22:36:00.790848,14.79937021,.0000361,51.9025,312.1694,96.1462,263.9542,0,U,64836,999,5868,.17663E-3,.1126E-4,0
KUIPER-00092,2025-151X,2026-08-12T11:03:35.908128,14.79947161,.00003876,51.9026,321.7840,93.7726,266.3280,0,U,64837,999,5972,.20161595E-3,.1317E-4,0
KUIPER-00093,2025-151Y,2026-08-12T12:37:01.050240,14.79923214,.00004496,51.9017,323.9693,98.7178,261.3835,0,U,64838,999,5848,.19537003E-3,.1268E-4,0
KUIPER-00094,2025-151Z,2026-08-13T02:44:51.199008,14.79918711,.0000326,51.9043,276.4686,50.1558,309.9433,0,U,64839,999,5920,.17415E-3,.1106E-4,0
KUIPER-00081,2025-171A,2026-08-13T02:54:17.483616,14.79936305,.0000898,51.8991,176.3320,63.0747,297.0307,0,U,65132,999,5620,.18683E-3,.1203E-4,0
KUIPER-00088,2025-171B,2026-08-13T02:27:06.154848,14.79944252,.0000694,51.9001,193.9186,50.6956,309.4068,0,U,65133,999,5595,.19268E-3,.1248E-4,0
KUIPER-00095,2025-171C,2026-08-13T01:20:56.055840,14.79940865,.0000951,51.8979,174.1638,60.5448,299.5609,0,U,65134,999,5622,.20196E-3,.1319E-4,0
KUIPER-00096,2025-171D,2026-08-13T01:50:07.577376,14.79940691,.0000716,51.8990,186.5265,81.2867,278.8176,0,U,65135,999,5605,.19876E-3,.1295E-4,0
KUIPER-00097,2025-171E,2026-08-13T03:23:31.136640,14.79928933,.000072,51.8996,188.9013,59.7132,300.3901,0,U,65136,999,5601,-.57893E-4,-.662E-5,0
KUIPER-00098,2025-171F,2026-08-13T03:19:38.136576,14.79920500,.0000727,51.9001,191.2766,64.9418,295.1620,0,U,65137,999,5533,.20743E-3,.136E-4,0
KUIPER-00099,2025-171G,2026-08-13T04:23:46.040928,14.79924890,.000076,51.9022,181.0891,74.4741,285.6305,0,U,65138,999,5613,.20761E-3,.1362E-4,0
KUIPER-00100,2025-171H,2026-08-13T02:01:48.828288,14.79919328,.000068,51.9018,178.9939,65.8418,294.2616,0,U,65139,999,5615,.19196E-3,.1242E-4,0
KUIPER-00102,2025-171J,2026-08-13T01:57:55.786752,14.79939572,.0000951,51.8982,181.4836,61.6512,298.4546,0,U,65140,999,5611,.18784E-3,.1211E-4,0
KUIPER-00103,2025-171K,2026-08-13T03:56:35.636640,14.79921847,.0000715,51.8993,198.6201,59.7963,300.3070,0,U,65141,999,5588,.19175E-3,.1241E-4,0
KUIPER-00104,2025-171L,2026-08-13T02:38:45.536928,14.79925184,.0000781,51.9025,186.3681,53.8809,306.2226,0,U,65142,999,5605,-.67796E-4,-.738E-5,0
