OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
ONEWEB-0012,2019-010A,2026-08-13T00:32:59.678880,13.16595588,.0001902,87.9079,217.4931,103.1252,257.0092,0,U,44057,999,35904,-.45322E-4,-.4E-7,0
ONEWEB-0010,2019-010B,2026-08-13T01:09:26.120736,13.16589496,.0002385,87.9092,217.4848,86.4804,273.6599,0,U,44058,999,35909,.15514E-4,.19E-6,0
ONEWEB-0008,2019-010C,2026-08-12T23:56:30.033312,13.16594218,.0001664,87.9090,217.4895,83.6838,276.4482,0,U,44059,999,35920,-.79874E-5,.1E-6,0
ONEWEB-0007,2019-010D,2026-08-13T03:41:33.976608,13.15549168,.0002292,87.8959,247.8645,97.7517,262.3874,0,U,44060,999,35886,-.16683E-3,-.5E-6,0
ONEWEB-0006,2019-010E,2026-08-13T01:57:45.033408,13.15548101,.0002091,87.8971,247.8490,88.1951,271.9419,0,U,44061,999,35890,-.24427E-3,-.79E-6,0
ONEWEB-0011,2019-010F,2026-08-13T03:01:38.706816,13.15547807,.000204,87.8969,247.8511,86.7498,273.3865,0,U,44062,999,35890,.36833E-3,.151E-5,0
ONEWEB-0013,2020-008A,2026-08-13T00:28:18.160896,13.09460401,.0001564,87.8498,41.3460,124.2997,235.8278,0,U,45131,999,31350,.22745E-2,.796E-5,0
ONEWEB-0017,2020-008B,2026-08-12T23:05:56.129280,13.10375002,.0001987,87.8846,24.9534,88.1750,271.9605,0,U,45132,999,31538,.9337E-3,.339E-5,0
ONEWEB-0020,2020-008C,2026-08-12T22:21:55.829952,13.10372560,.0001759,87.8847,24.9600,95.0680,265.0648,0,U,45133,999,31577,-.18385E-2,-.629E-5,0
ONEWEB-0021,2020-008D,2026-08-12T22:43:55.324704,13.10376311,.0001846,87.8844,24.9693,94.8780,265.2558,0,U,45134,999,31608,-.10737E-2,-.362E-5,0
