OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
ORBCOMM FM06,1997-084G,2026-08-11T19:56:31.806816,14.47678269,.00012398,45.0130,144.8140,318.3517,84.5908,0,U,25118,999,50245,.17376475E-3,.501E-5,0
ORBCOMM FM04,1998-007C,2026-08-13T02:34:42.860928,14.35819650,.0041934,107.9624,286.5753,228.0104,131.7461,0,U,25159,999,48476,.14035E-3,.277E-5,0
ORBCOMM FM19,1998-046C,2026-08-12T08:39:02.855808,14.39587738,.00051376,44.9951,336.5289,224.2255,177.5044,0,U,25415,999,46487,.14986256E-3,.33E-5,0
ORBCOMM FM20,1998-046D,2026-08-11T17:26:41.805600,14.38135274,.00021925,44.9956,348.0805,210.4405,149.6316,0,U,25416,999,46478,.12685839E-3,.246E-5,0
ORBCOMM FM27,1998-053G,2026-08-12T23:16:49.924128,14.39228831,.0000858,45.0053,65.6318,127.6561,232.4365,0,U,25481,999,45841,.1416E-3,.3E-5,0
ORBCOMM FM32,1999-065C,2026-08-13T03:40:04.251072,14.37200006,.0006716,45.0147,263.5854,320.1503,39.8851,0,U,25982,999,39528,.10271E-3,.166E-5,0
ORBCOMM FM109,2014-040A,2026-08-12T22:36:27.384768,14.58889481,.0000568,47.0020,183.1445,143.2416,216.8509,0,U,40086,999,64263,.45385E-4,.44E-6,0
ORBCOMM FM110,2015-081D,2026-08-12T07:54:13.548672,14.58953765,.00032326,47.0017,95.9698,329.7427,30.3272,0,U,41182,999,56582,.78166281E-4,.199E-5,0
ORBCOMM FM118,2015-081E,2026-08-12T23:31:47.599392,14.58937199,.0003345,47.0041,93.2383,294.6650,65.3887,0,U,41183,999,56602,.78983E-4,.202E-5,0
ORBCOMM FM112,2015-081F,2026-08-12T15:23:30.175872,14.58970529,.00025647,47.0003,3.2742,120.8122,239.3017,0,U,41184,999,56719,.6324369E-4,.128E-5,0
ORBCOMM FM113,2015-081G,2026-08-12T09:57:06.312096,14.58906204,.00011277,47.0019,4.7542,129.9732,230.1253,0,U,41185,999,56714,.50886244E-4,.7E-6,0
ORBCOMM FM108,2015-081J,2026-08-13T03:06:13.502016,14.58944696,.0001289,47.0044,272.9618,117.5487,242.5530,0,U,41187,999,56839,.5947E-4,.11E-5,0
ORBCOMM FM117,2015-081K,2026-08-13T03:55:52.608576,14.58930594,.0001801,47.0007,271.4191,124.2080,235.8976,0,U,41188,999,56844,.55827E-4,.93E-6,0
ORBCOMM FM116,2015-081L,2026-08-12T11:01:01.714368,14.58864019,.00019457,47.0031,4.5406,301.0518,59.0176,0,U,41189,999,56715,.53101513E-4,.8E-6,0
