OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
QIANFAN-1,2024-140A,2026-08-13T03:18:38.746080,13.51023883,.001597,88.9701,274.0227,226.2982,133.6847,0,U,60379,999,10021,.7038E-4,.57E-6,0
QIANFAN-2,2024-140B,2026-08-13T04:00:22.237056,13.51025095,.0012253,88.9687,273.8259,194.1188,165.9623,0,U,60380,999,10027,.11262E-3,.85E-6,0
QIANFAN-3,2024-140C,2026-08-13T04:12:08.666784,13.51020917,.0012898,88.9680,273.9392,208.0934,151.9522,0,U,60381,999,10018,.88067E-4,.69E-6,0
QIANFAN-4,2024-140D,2026-08-13T03:36:24.141888,13.51023539,.0012374,88.9705,273.9008,197.0390,163.0347,0,U,60382,999,10030,.49615E-4,.44E-6,0
QIANFAN-5,2024-140E,2026-08-13T03:01:02.015328,13.51029079,.0013756,88.9680,273.9689,221.2226,138.7887,0,U,60383,999,10016,.83931E-4,.66E-6,0
QIANFAN-6,2024-140F,2026-08-13T03:30:31.648032,13.51022471,.0012269,88.9706,273.7791,203.3644,156.6951,0,U,60384,999,10036,.62884E-4,.53E-6,0
QIANFAN-7,2024-140G,2026-08-13T03:27:18.385056,14.27882530,.0013262,88.9739,265.0784,327.8967,32.1419,0,U,60385,999,10512,.76554E-4,.204E-5,0
QIANFAN-8,2024-140H,2026-08-13T03:42:33.901056,13.51018839,.0015613,88.9708,274.0187,207.6733,152.3589,0,U,60386,999,10021,.7178E-4,.58E-6,0
QIANFAN-9,2024-140J,2026-08-13T03:06:46.486080,13.51019559,.0015319,88.9706,274.0917,207.3300,152.7047,0,U,60387,999,10019,.91321E-4,.71E-6,0
QIANFAN-10,2024-140K,2026-08-13T03:12:42.951744,13.51019856,.0014634,88.9716,273.4640,183.2981,176.8076,0,U,60388,999,10032,.82926E-4,.66E-6,0
QIANFAN-11,2024-140L,2026-08-13T04:06:11.310336,13.51019554,.0013372,88.9642,273.8641,205.9083,154.1400,0,U,60389,999,9998,.83672E-4,.66E-6,0
QIANFAN-12,2024-140M,2026-08-13T04:35:49.837056,13.51021822,.0011933,88.9685,274.0113,213.8366,146.2025,0,U,60390,999,10011,.62138E-4,.52E-6,0
QIANFAN-13,2024-140N,2026-08-13T03:54:17.578080,13.51021662,.0011679,88.9945,274.1580,216.3559,143.6800,0,U,60391,999,10013,.82854E-4,.65E-6,0
QIANFAN-14,2024-140P,2026-08-13T04:29:55.379328,13.51024861,.0015324,88.9676,273.9872,218.5005,141.5054,0,U,60392,999,10014,.56898E-4,.49E-6,0
QIANFAN-15,2024-140Q,2026-08-13T02:55:10.948800,13.51025294,.0011625,88.9699,274.0085,201.5857,158.4806,0,U,60393,999,10012,.81453E-4,.65E-6,0
QIANFAN-16,2024-140R,2026-08-13T04:23:54.813120,13.51023802,.001315,88.9702,274.1290,221.8879,138.1267,0,U,60394,999,10004,.61203E-4,.52E-6,0
QIANFAN-17,2024-140S,2026-08-13T04:18:02.219040,13.51019808,.0013734,88.9713,274.2020,215.2005,144.8240,0,U,60395,999,10100,.64647E-4,.54E-6,0
QIANFAN-18,2024-140T,2026-08-13T03:48:24.609888,13.51019269,.0013685,88.9707,273.7217,196.5352,163.5355,0,U,60396,999,10039,.7492E-4,.6E-6,0
QIANFAN-19,2024-185A,2026-08-13T03:51:06.551136,14.14509986,.0004849,88.9806,50.0474,230.5877,129.4882,0,U,61552,999,10407,.11511E-3,.235E-5,0
QIANFAN-20,2024-185B,2026-08-13T03:22:07.027968,14.09051843,.0003623,88.9801,50.6144,299.3863,60.6959,0,U,61553,999,10376,.11786E-3,.218E-5,0
QIANFAN-21,2024-185C,2026-08-13T03:54:41.783040,14.22903364,.000841,88.9725,48.4687,296.2391,63.7935,0,U,61554,999,10458,.11678E-3,.277E-5,0
QIANFAN-22,2024-185D,2026-08-13T03:59:22.512192,13.86417282,.0005751,88.9783,52.5754,351.2722,8.8349,0,U,61555,999,10266,.11574E-3,.147E-5,0
QIANFAN-23,2024-185E,2026-08-13T03:26:38.781024,14.16533111,.0005221,88.9800,49.7451,243.6550,116.4102,0,U,61556,999,10420,.92746E-4,.199E-5,0
QIANFAN-24,2024-185F,2026-08-13T04:04:42.586176,14.24124805,.0007936,88.9782,48.7506,212.1267,147.9443,0,U,61557,999,10466,.12013E-3,.291E-5,0
QIANFAN-25,2024-185G,2026-08-13T02:45:26.877024,14.06108142,.0009314,88.9789,50.6467,304.2821,55.7478,0,U,61558,999,10370,.63092E-4,.117E-5,0
QIANFAN-26,2024-185H,2026-08-13T04:04:00.016032,13.77932935,.0006017,88.9789,53.4749,16.8445,343.2920,0,U,61559,999,10219,.97014E-4,.11E-5,0
QIANFAN-27,2024-185J,2026-08-13T03:08:50.165088,14.27575215,.000642,88.9795,48.4122,191.3359,168.7692,0,U,61560,999,10488,.10389E-3,.27E-5,0
QIANFAN-28,2024-185K,2026-08-13T02:49:16.161024,14.28447457,.0006395,88.9812,48.4278,189.9030,170.2040,0,U,61561,999,10491,.1285E-3,.336E-5,0
QIANFAN-29,2024-185L,2026-08-13T04:12:22.538304,13.51085033,.0011706,88.9759,56.1470,70.6562,289.5853,0,U,61562,999,10066,.13049E-3,.97E-6,0
QIANFAN-30,2024-185M,2026-08-13T02:41:27.586176,13.50066978,.0009329,88.9780,55.7721,60.0970,300.1107,0,U,61563,999,10090,.12867E-3,.94E-6,0
QIANFAN-31,2024-185N,2026-08-13T02:59:04.915680,13.58054035,.0008533,88.9764,55.1863,49.6843,310.5056,0,U,61564,999,10119,.13655E-3,.111E-5,0
QIANFAN-32,2024-185P,2026-08-13T04:03:59.908032,13.50799252,.0011747,88.9820,55.9722,84.6919,275.5572,0,U,61565,999,10090,.12156E-3,.9E-6,0
QIANFAN-33,2024-185Q,2026-08-13T01:33:48.653280,13.96733679,.0005561,88.9784,51.6792,293.5595,66.4998,0,U,61566,999,10312,.1088E-3,.164E-5,0
QIANFAN-34,2024-185R,2026-08-13T04:09:38.668608,14.02498448,.0004069,88.9764,50.9086,297.8207,62.2560,0,U,61567,999,10347,.16588E-3,.269E-5,0
QIANFAN-35,2024-185S,2026-08-13T04:06:54.093024,14.28323893,.0005695,88.9793,48.3060,183.3745,176.7412,0,U,61568,999,10492,.12693E-3,.331E-5,0
QIANFAN-36,2024-185T,2026-08-13T04:05:27.713760,13.55643342,.000819,88.9756,55.6760,64.0799,296.1198,0,U,61569,999,10090,.36008E-4,.37E-6,0
QIANFAN-37,2024-232B,2026-08-13T03:24:00.199008,13.51025288,.0002581,89.0101,16.8665,100.2753,259.8689,0,U,62238,999,13203,.39536E-4,.38E-6,0
QIANFAN-38,2024-232C,2026-08-13T03:59:32.106048,13.51023867,.0013792,89.0108,16.7963,204.6828,155.3665,0,U,62239,999,13209,.45111E-4,.41E-6,0
QIANFAN-39,2024-232D,2026-08-13T03:32:22.277184,14.25540905,.0016101,89.0097,9.5835,9.8489,350.3016,0,U,62240,999,13606,.55154E-4,.145E-5,0
