OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
SCD 1,1993-009B,2026-08-13T02:20:13.644096,14.46138861,.0042009,24.9683,216.1863,20.7306,38.2974,0,U,22490,999,76936,.26889E-4,.283E-5,0
TECHSAT 1B (GO-32),1998-043D,2026-08-12T23:03:51.698592,14.24437855,.0002287,99.0115,219.1631,70.3768,289.7657,0,U,25397,999,45941,.21237E-4,.2E-7,0
SCD 2,1998-060A,2026-08-13T00:00:43.620768,14.45543034,.0016741,24.9955,81.7862,4.2341,142.0173,0,U,25504,999,46855,.23505E-4,.266E-5,0
DLR-TUBSAT,1999-029B,2026-08-12T23:45:29.966688,14.52438786,.0014287,98.6739,222.3743,172.7380,187.4024,0,U,25757,999,44149,.10887E-4,-.4E-7,0
TERRA,1999-068A,2026-08-13T02:58:42.415392,14.61141741,.0003459,97.9417,272.4014,66.6498,318.0583,0,U,25994,999,41792,.39729E-4,.151E-5,0
MAROC-TUBSAT,2001-056D,2026-08-13T02:41:54.308832,13.70264522,.0019813,99.8120,43.0561,359.6911,117.9706,0,U,27004,999,23398,.72235E-5,-.4E-6,0
AQUA,2002-022A,2026-08-13T04:48:51.624000,14.62163389,.0001753,98.4332,195.6381,92.8319,357.0255,0,U,27424,999,29160,.73917E-4,.322E-5,0
SHIYAN-1 (SY-1),2004-012A,2026-08-13T04:16:44.452128,15.35098099,.0006102,97.8671,307.0007,163.8221,196.3217,0,U,28220,999,21983,.21278E-3,.7161E-4,0
AURA,2004-026A,2026-08-13T03:47:46.036608,14.61402477,.000169,98.3458,182.0981,87.1624,272.9769,0,U,28376,999,17453,.74691E-4,.321E-5,0
IRS-P5 (CARTOSAT-1),2005-017A,2026-08-13T01:13:12.040320,14.91176718,.00011,97.5306,245.5379,127.9969,232.1349,0,U,28649,999,15229,.50512E-4,.449E-5,0
SINAH 1,2005-043D,2026-08-13T04:26:35.099808,14.64192086,.0015758,98.2933,359.8657,97.6323,262.6670,0,U,28893,999,10886,.26222E-4,.89E-6,0
RESURS-DK 1,2006-021A,2026-08-13T01:53:12.560640,15.13407803,.0006758,69.9312,192.2604,245.1777,114.8687,0,U,29228,999,11118,.41256E-4,.629E-5,0
ARIRANG-2 (KOMPSAT-2),2006-031A,2026-08-13T05:02:54.371328,14.64688708,.001297,97.8320,46.9060,251.6660,225.3663,0,U,29268,999,6982,.66252E-5,-.1E-6,0
LAPAN-TUBSAT,2007-001A,2026-08-13T03:41:37.970880,14.86000764,.0012416,98.1370,225.6727,7.1534,352.9855,0,U,29709,999,5961,.42829E-4,.317E-5,0
HAIYANG-1B,2007-010A,2026-08-12T22:04:22.339200,14.31039214,.0014359,98.3550,204.5786,37.6958,322.5228,0,U,31113,999,875,.24315E-4,.22E-6,0
COSMO-SKYMED 1,2007-023A,2026-08-13T03:25:03.989856,14.97326963,.0001578,97.8843,57.4865,99.3350,260.8050,0,U,31598,999,3831,.11938E-3,.1325E-4,0
TERRASAR-X,2007-026A,2026-08-10T12:47:37.833792,15.19145371,.00015961,97.4474,229.4688,90.5512,269.5906,0,U,31698,999,6147,.7464444E-5,.9E-6,0
WORLDVIEW-1 (WV-1),2007-041A,2026-08-13T03:16:17.849280,15.24305447,.0001614,97.3835,344.0740,114.4064,245.7342,0,U,32060,999,5155,.10875E-3,.2587E-4,0
YAOGAN-3,2007-055A,2026-08-13T04:13:05.142144,14.90971481,.000148,97.8137,254.4910,91.6127,268.5261,0,U,32289,999,1436,.14359E-3,.1363E-4,0
COSMO-SKYMED 2,2007-059A,2026-08-13T03:21:31.102848,14.82155637,.0001507,97.8907,47.9194,90.1012,270.0374,0,U,32376,999,1044,.21685E-4,.12E-5,0
RADARSAT-2,2007-061A,2026-08-13T03:13:01.723872,14.29981139,.0001264,98.5797,231.2575,83.3159,276.8167,0,U,32382,999,97409,.29231E-4,.32E-6,0
CARTOSAT-2A,2008-021A,2026-08-13T04:53:42.899136,14.79299135,.0010388,97.7600,271.9557,289.5680,70.4410,0,U,32783,999,98723,-.22634E-4,-.219E-5,0
HUANJING 1A (HJ-1A),2008-041A,2026-08-13T04:58:48.072576,14.84107013,.0017909,97.6725,208.8590,315.6402,44.3377,0,U,33320,999,96686,.46908E-4,.341E-5,0
HUANJING 1B (HJ-1B),2008-041B,2026-08-13T04:52:08.857920,14.83415941,.0036454,97.6559,211.8515,359.0070,1.1065,0,U,33321,999,96686,.99753E-4,.776E-5,0
GEOEYE 1,2008-042A,2026-08-13T04:41:37.421664,14.64669789,.0003506,98.1303,298.4474,225.6171,134.4745,0,U,33331,999,95849,.41038E-4,.171E-5,0
THEOS,2008-049A,2026-08-13T04:17:31.443360,14.20139117,.0001208,98.5537,280.5997,93.2177,266.9138,0,U,33396,999,92605,-.76958E-4,-.206E-5,0
COSMO-SKYMED 3,2008-054A,2026-08-13T04:12:09.210240,15.07261474,.0017168,97.8209,84.6848,74.0005,286.3112,0,U,33412,999,96552,.45322E-4,.619E-5,0
YAOGAN-4,2008-061A,2026-08-12T13:32:21.106752,14.83295081,.00128027,97.9303,157.6622,244.8286,115.1600,0,U,33446,999,95402,.45024302E-4,.315E-5,0
GOSAT (IBUKI),2009-002A,2026-08-12T07:41:30.190848,14.67537617,.0001224,98.0930,334.7097,106.5709,253.5631,0,U,33492,999,93969,.49615664E-4,.233E-5,0
DEIMOS-1,2009-041A,2026-08-13T03:50:24.713664,14.75287404,.0002164,97.7467,19.9410,50.0475,310.0925,0,U,35681,999,91528,.12515E-4,.37E-6,0
DUBAISAT-1,2009-041B,2026-08-12T22:19:57.768672,14.75205332,.0009119,98.0123,357.5919,245.3025,114.7235,0,U,35682,999,91346,.55884E-4,.327E-5,0
OCEANSAT-2,2009-051A,2026-08-13T04:10:24.943584,13.99671464,.0018042,98.2386,206.3425,74.0352,286.2801,0,U,35931,999,88730,.1647E-3,.204E-5,0
WORLDVIEW-2 (WV-2),2009-055A,2026-08-13T03:42:26.857728,14.37913314,.000536,98.4733,297.8246,61.7148,298.4580,0,U,35946,999,88383,.22511E-4,.24E-6,0
SMOS,2009-059A,2026-08-13T02:34:19.678080,14.39749523,.0001408,98.4437,51.6107,95.2216,264.9133,0,U,36036,999,88164,.50507E-4,.115E-5,0
YAOGAN-7,2009-069A,2026-08-13T03:48:14.451840,14.78056203,.0023694,97.9981,110.6513,212.8665,147.1073,0,U,36110,999,89804,.31111E-4,.172E-5,0
TANDEM-X,2010-030A,2026-08-10T11:12:46.848960,15.19145371,.00019102,97.4473,229.4058,89.3837,270.7616,0,U,36605,999,89488,.7009743E-5,.8E-6,0
CARTOSAT-2B,2010-035A,2026-08-13T04:23:17.598912,14.78643351,.0011675,97.9919,275.3552,14.2119,345.9418,0,U,36795,999,86827,.85379E-4,.573E-5,0
YAOGAN-10,2010-038A,2026-08-13T05:01:44.550624,14.85499794,.0001406,97.8968,248.1609,82.8296,5.1491,0,U,36834,999,86567,.14602E-4,.72E-6,0
COSMO-SKYMED 4,2010-060A,2026-08-13T03:39:45.415008,14.82157538,.0001479,97.8900,47.9337,82.4800,277.6581,0,U,37216,999,85300,.67667E-4,.486E-5,0
RESOURCESAT-2,2011-015A,2026-08-13T04:04:05.537856,14.21604617,.0012472,98.7606,292.2059,93.7891,266.4712,0,U,37387,999,79427,.20578E-4,.1E-7,0
HAIYANG-2A,2011-043A,2026-08-13T05:27:15.676992,13.72327480,.0001193,99.3417,226.5505,173.9859,186.1303,0,U,37781,999,75448,.21872E-4,-.23E-6,0
RASAT,2011-044D,2026-08-13T05:15:18.112032,14.68213225,.0020985,98.0578,315.7449,15.3810,37.6971,0,U,37791,999,80155,.25436E-5,-.35E-6,0
SRMSAT,2011-058D,2026-08-12T15:00:34.329312,14.11585961,.00117779,19.9722,77.8537,105.1236,288.2197,0,U,37841,999,76580,.29414083E-4,.319E-5,0
PLEIADES 1A,2011-076F,2026-08-13T04:57:45.171648,14.58559806,.0001137,98.1955,299.5340,75.5169,8.9021,0,U,38012,999,78030,.24053E-4,.66E-6,0
ZIYUAN 1-02C (ZY 1-02C),2011-079A,2026-08-13T04:45:42.568704,14.38253735,.000734,98.4042,291.3054,130.0046,322.8830,0,U,38038,999,76740,.22224E-4,.25E-6,0
ARIRANG-3 (KOMPSAT-3),2012-025B,2026-08-13T04:06:42.035904,14.62249623,.0004214,98.1220,181.6622,306.2100,53.8711,0,U,38338,999,75967,.40888E-4,.16E-5,0
EXACTVIEW-1 (ADS-1B),2012-039C,2026-08-13T04:26:56.414688,14.24998749,.0010973,98.9833,343.8783,13.2724,346.8741,0,U,38709,999,73082,.30097E-4,.24E-6,0
SPOT 6,2012-047A,2026-08-13T04:56:59.326080,14.58551021,.0001325,98.2090,291.8354,100.0477,260.0871,0,U,38755,999,74136,.12468E-4,.12E-6,0
PLEIADES 1B,2012-068A,2026-08-13T03:45:06.628608,14.58547104,.0001093,98.1926,299.4127,79.7843,280.3479,0,U,39019,999,72915,.22528E-4,.59E-6,0
GOKTURK 2,2012-073A,2026-08-13T04:16:52.311936,14.75590228,.0001837,97.6799,59.7513,102.3684,257.7731,0,U,39030,999,73291,.62629E-4,.38E-5,0
LANDSAT 8,2013-008A,2026-08-13T03:47:40.869024,14.57099036,.000129,98.2265,294.6054,90.9052,269.2294,0,U,39084,999,70619,.39306E-4,.132E-5,0
SARAL,2013-009A,2026-08-13T03:52:07.551264,14.32901366,.0002947,98.5564,51.0117,108.6853,251.4652,0,U,39086,999,70376,.2385E-4,.21E-6,0
GAOFEN-1,2013-018A,2026-08-13T04:35:09.186720,14.76545691,.0018418,97.9069,296.0888,82.9806,277.3498,0,U,39150,999,71665,.23581E-4,.114E-5,0
VNREDSAT 1,2013-021B,2026-08-13T04:38:55.089024,14.64721053,.0001644,97.9046,276.4083,80.7025,279.4364,0,U,39160,999,70863,.59811E-4,.273E-5,0
ARIRANG-5 (KOMPSAT-5),2013-042A,2026-08-13T03:55:56.671104,15.04480687,.0002199,97.6211,51.0673,332.4327,27.6782,0,U,39227,999,71242,.53778E-5,.15E-6,0
