OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
HST,1990-037B,2026-08-12T22:01:03.125856,15.31326333,.0002425,28.4728,52.6665,57.2025,302.8804,0,U,20580,999,79727,.9437E-4,.3169E-4,0
POLAR,1996-013A,2026-08-13T00:50:14.794944,1.29845936,.6528001,79.9359,226.3724,207.1256,93.7482,0,U,23802,999,14559,0,.191E-5,0
SWAS,1998-071A,2026-08-12T23:51:58.351968,15.09917080,.0006017,69.8932,80.9915,195.3505,164.7477,0,U,25560,999,50584,.95035E-4,.1439E-4,0
CXO,1999-040B,2026-08-15T13:24:40.178304,0.37807944,.77408382,57.0099,115.0558,309.7608,0.6455,0,U,25867,999,1754,0,.709E-5,0
XMM-NEWTON,1999-066A,2026-08-15T04:33:58.938336,0.50127109,.465698,64.1708,282.2242,63.8636,0.0494,0,U,25989,999,2329,0,.28E-6,0
TERRA,1999-068A,2026-08-13T02:58:42.415392,14.61141741,.0003459,97.9417,272.4014,66.6498,318.0583,0,U,25994,999,41792,.39729E-4,.151E-5,0
CLUSTER II-FM7 (SAMBA),2000-041A,2026-08-14T03:04:00.318144,0.44862636,.9119345,149.5803,61.5318,279.3795,359.6268,0,U,26410,999,2057,0,.339296E-2,-.22128E-2
CLUSTER II-FM8 (TANGO),2000-045B,2026-08-12T16:57:21.314016,0.44445763,.9121821,149.7550,62.5583,280.2230,1.8949,0,U,26464,999,2056,0,.3961E-2,-.25351E-2
TIMED,2001-055B,2026-08-13T03:25:51.421728,14.95401343,.0002459,74.0674,120.3322,269.6236,90.4667,0,U,26998,999,33933,.5611E-4,.58E-5,0
CORIOLIS,2003-001A,2026-08-12T23:48:03.151296,14.19958596,.0014974,98.7153,231.0146,52.3987,307.8547,0,U,27640,999,22228,.42207E-4,.46E-6,0
SORCE,2003-004A,2026-08-12T14:04:16.859136,15.03969401,.00162442,39.9914,299.8316,97.0381,263.2261,0,U,27651,999,28039,.86508683E-4,.1064E-4,0
MOST,2003-031D,2026-08-13T00:30:38.505600,14.21332558,.0011033,98.7070,231.9588,88.7439,271.5002,0,U,27843,999,19878,.28523E-4,.19E-6,0
SCISAT 1,2003-036A,2026-08-12T22:47:04.499232,14.81506362,.0006178,73.9287,58.5572,113.4104,246.7722,0,U,27858,999,23985,.35308E-4,.24E-5,0
SWIFT,2004-047A,2026-08-13T00:11:28.449888,15.74237116,.0002766,20.5518,104.6941,14.2304,345.8221,0,U,28485,999,19581,.29198E-3,.45274E-3,0
HINODE (SOLAR-B),2006-041A,2026-08-13T00:08:45.249792,14.68688985,.0018871,98.0555,240.3235,106.5136,253.8144,0,U,29479,999,6321,.50725E-4,.247E-5,0
