OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
ISS (ZARYA),1998-067A,2026-08-13T03:34:14.082240,15.49426097,.0007533,51.6324,18.1827,41.6914,318.4648,0,U,25544,999,58058,.75606E-4,.3778E-4,0
POISK,2009-060A,2026-08-13T03:34:14.082240,15.49426097,.0007533,51.6324,18.1827,41.6914,318.4648,0,U,36086,999,58064,.75606E-4,.3778E-4,0
CSS (TIANHE),2021-035A,2026-08-12T23:40:14.180736,15.58975796,.0001079,41.4709,337.2096,250.4973,109.5748,0,U,48274,999,30203,.54127E-5,.101E-5,0
ISS (NAUKA),2021-066A,2026-08-13T03:34:14.082240,15.49426097,.0007533,51.6324,18.1827,41.6914,318.4648,0,U,49044,999,58068,.75606E-4,.3778E-4,0
FREGAT DEB,2011-037PF,2026-08-13T01:47:48.812064,12.43416858,.0916137,51.6395,190.7381,47.3689,320.0811,0,U,49271,999,23212,.1753E-1,.11071E-3,0
CSS (WENTIAN),2022-085A,2026-08-12T00:36:30.609792,15.58951111,.00010802,41.4711,343.0411,256.9146,103.1572,0,U,53239,999,28823,.5774231E-5,.129E-5,0
CSS (MENGTIAN),2022-143A,2026-08-12T23:40:14.180736,15.58975796,.0001079,41.4709,337.2096,250.4973,109.5748,0,U,54216,999,30217,.54127E-5,.101E-5,0
HRC MONOBLOCK CAMERA,1998-067XR,2026-08-12T14:31:32.030976,15.83975965,.00047841,51.6203,347.3673,333.1161,26.9593,0,U,66052,999,4691,.38608189E-3,.8851E-3,0
SZ-21 MODULE,2025-246C,2026-08-12T07:41:34.389024,15.81473029,.00076638,41.4728,316.4276,47.6833,312.4662,0,U,66515,999,4261,.16867779E-3,.34421E-3,0
DUPLEX,1998-067XS,2026-08-12T13:51:20.101536,15.66738811,.00030308,51.6271,3.8293,24.6171,335.4969,0,U,66906,999,3948,.26707703E-3,.28228E-3,0
KNACKSAT-2,1998-067XZ,2026-08-12T22:50:03.407712,15.65175685,.0007146,51.6276,7.8505,50.9519,309.2111,0,U,67683,999,2915,.3582E-3,.35782E-3,0
GXIBA-1,1998-067YB,2026-08-12T14:53:40.589088,15.67915486,.00076044,51.6253,7.8723,44.6917,315.4691,0,U,67685,999,2912,.4036888E-3,.45228E-3,0
UITMSAT-2,1998-067YC,2026-08-12T14:10:04.111968,15.74499030,.00057476,51.6243,4.6456,358.1863,1.9115,0,U,67686,999,2916,.52375787E-3,.78025E-3,0
LEOPARD,1998-067YD,2026-08-12T23:43:27.269184,15.67619695,.0006059,51.6280,6.6090,10.7638,349.3487,0,U,67687,999,2909,.46426E-3,.51484E-3,0
HMU-SAT2,1998-067YE,2026-08-12T14:22:28.528320,15.71201467,.00054991,51.6275,6.2341,5.6857,354.4202,0,U,67688,999,2906,.46372223E-3,.59755E-3,0
CREW DRAGON 12,2026-031A,2026-08-13T03:34:14.082240,15.49426097,.0007533,51.6324,18.1827,41.6914,318.4648,0,U,67796,999,58072,.75606E-4,.3778E-4,0
PROGRESS-MS 33,2026-058A,2026-08-13T03:34:14.082240,15.49426097,.0007533,51.6324,18.1827,41.6914,318.4648,0,U,68319,999,58080,.75606E-4,.3778E-4,0
CYGNUS NG-24,2026-079A,2026-08-12T10:32:35.602080,15.49419670,.00075163,51.6323,21.6951,39.2646,320.8886,0,U,68689,999,58073,.72910317E-4,.3626E-4,0
PROGRESS-MS 34,2026-093A,2026-08-12T10:32:35.602080,15.49419670,.00075163,51.6323,21.6951,39.2646,320.8886,0,U,68837,999,58077,.72910317E-4,.3626E-4,0
TIANZHOU-10,2026-102A,2026-08-12T00:36:30.609792,15.58951111,.00010802,41.4711,343.0411,256.9146,103.1572,0,U,69049,999,30193,.5774231E-5,.129E-5,0
SHENZHOU-23 (SZ-23),2026-113A,2026-08-12T00:36:30.609792,15.58951111,.00010802,41.4711,343.0411,256.9146,103.1572,0,U,69180,999,30139,.5774231E-5,.129E-5,0
SOYUZ-MS 29,2026-162A,2026-08-12T10:32:35.602080,15.49419670,.00075163,51.6323,21.6951,39.2646,320.8886,0,U,100057,999,58037,.72910317E-4,.3626E-4,0
